sampleID_FIELD	trapID	sampleID_LAB	biomass_grams	placing_user	placing_time	placing_date	collecting_user	collecting_time	collecting_date	duration_min	trap_condition_collection	processing_group	sample_accession_ENA	sample_status
SH3D43	TFBCWJ	L104749	1.8294	Tsitongambarika	11:15:00_AM	15/7/2020	Tsitongambarika	09:20:00_PM	22/7/2020	10685	good	Sweden	ERS16375123	sample processed and sequenced
SFZKC2	TUAPDE	L104750	4.1704	Montagne_d'Ambre	09:47:28_AM	22/4/2020	Montagne_d'Ambre	08:57:51_AM	29/4/2020	10030	poor	Sweden	ERS16375110	sample processed and sequenced
SA74Q7	TN1QSL	L104751	5.6864	Baie	04:01:16_AM	15/1/2020	Baie	04:00:39_AM	22/1/2020	10079	good	Sweden	ERS16375059	sample processed and sequenced
STSCVG	TK4SS2	L104741	1.6844	Bekopaka	02:35:44_PM	11/9/2019	Bekopaka	04:00:53_PM	18/9/2019	10165	good	Sweden	ERS16375212	sample processed and sequenced
SD4PC3	TEYXBT	L104742	3.5084	Maromizaha	04:34:02_AM	16/10/2019	Maromizaha	05:40:16_AM	23/10/2019	10146	good	Sweden	ERS16375084	sample processed and sequenced
SDUEDF	TEE8KA	L104743	3.1944	Analalava	09:42:49_AM	26/2/2020	Analalava	07:30:18_AM	4/3/2020	9947	good	Sweden	ERS16375087	sample processed and sequenced
SMRZDA	TEE8KA	L104744	2.2934	Analalava	03:27:30_PM	16/10/2019	Analalava	02:47:08_PM	23/10/2019	10040	good	Sweden	ERS16375162	sample processed and sequenced
SVNIIT	TEYXBT	L104745	3.7934	Maromizaha	04:30:34_AM	25/3/2020	Maromizaha	04:24:14_AM	1/4/2020	10074	good	Sweden	ERS16375235	sample processed and sequenced
SYGUFX	T9VS8I	L104746	3.3564	Masoala	04:53:21_AM	16/10/2019	Masoala	01:49:29_AM	23/10/2019	9896	poor	Sweden	ERS16375262	sample processed and sequenced
SCDCHB	THYGHQ	L104747	1.4784	Kirindy_Mitea	09:45:16_AM	17/6/2020	Kirindy_Mitea	01:57:08_AM	24/6/2020	9612	good	Sweden	ERS16375079	sample processed and sequenced
SF3844	TEGSKQ	L104748	3.1464	Ambatovy	09:05:00_AM	11/3/2020	Ambatovy	11:18:00_AM	18/3/2020	10213	good	Sweden	ERS16375099	sample processed and sequenced
STSQDF	TDY8SA	L104752	4.0184	Anjozorobe	01:14:56_PM	9/10/2019	Anjozorobe	01:51:30_PM	16/10/2019	10117	good	Sweden	ERS16375213	sample processed and sequenced
SNQ3GR	TKDVTA	L104761	0.6934	Tsitongambarika	12:05:00_AM	26/3/2020	Tsitongambarika	12:00:00_AM	2/4/2020	10075	good	Sweden	ERS16375166	sample processed and sequenced
SUZSLX	TKDVTA	L104762	1.7744	Tsitongambarika	10:17:02_AM	30/1/2020	Tsitongambarika	01:37:00_PM	5/2/2020	8840	good	Sweden	ERS16375225	sample processed and sequenced
SU58CQ	TEE8KA	L104763	3.3294	Analalava	02:47:31_PM	23/10/2019	Analalava	01:44:19_PM	30/10/2019	10017	good	Sweden	ERS16375215	sample processed and sequenced
SBTHD2	TULADB	L104753	1.8624	Tsitongambarika	07:26:02_AM	2/1/2020	Tsitongambarika	06:19:08_AM	9/1/2020	10013	good	Sweden	ERS16375076	sample processed and sequenced
SWUCRZ	TFBCWJ	L104754	0.7794	Tsitongambarika	10:33:00_AM	25/3/2020	Tsitongambarika	12:00:00_AM	2/4/2020	10887	good	Sweden	ERS16375248	sample processed and sequenced
SPSZDZ	TDY8SA	L104755	4.6604	Anjozorobe	12:18:13_PM	1/1/2020	Anjozorobe	12:12:30_PM	8/1/2020	10074	good	Sweden	ERS16375181	sample processed and sequenced
SIJ6FR	TULADB	L104756	0.9254	Tsitongambarika	10:29:00_AM	26/3/2020	Tsitongambarika	08:30:00_PM	1/4/2020	9241	good	Sweden	ERS16375135	sample processed and sequenced
SAXPPD	TEE8KA	L104757	2.9344	Analalava	03:06:43_PM	13/12/2019	Analalava	10:58:45_AM	20/12/2019	9832	acceptable	Sweden	ERS16375065	sample processed and sequenced
SDP5BB	TEE8KA	L104758	1.5564	Analalava	02:19:40_PM	25/9/2019	Analalava	10:33:53_AM	2/10/2019	9854	good	Sweden	ERS16375086	sample processed and sequenced
SVZ92U	TFBCWJ	L104759	2.8374	Tsitongambarika	07:13:13_AM	1/1/2020	Tsitongambarika	05:58:01_AM	8/1/2020	10005	good	Sweden	ERS16375238	sample processed and sequenced
S94MIJ	TDY8SA	L104760	3.8284	Anjozorobe	09:10:00_PM	12/2/2020	Anjozorobe	08:00:00_AM	19/2/2020	9290	good	Sweden	ERS16375055	sample processed and sequenced
S4VXYL	TULADB	L104764	5.3364	Tsitongambarika	11:05:00_PM	9/10/2019	Tsitongambarika	10:00:00_PM	16/10/2019	10015	good	Sweden	ERS16375031	sample processed and sequenced
SBSM59	T4ZF4M	L104773	0.7294	Isalo	06:47:23_AM	17/6/2020	Isalo	04:17:57_PM	24/6/2020	10651	good	Sweden	ERS16375075	sample processed and sequenced
S5WNCV	TR4LDL	L104774	0.7544	Mahavavy	02:04:02_AM	17/6/2020	Mahavavy	10:00:00_AM	24/6/2020	10556	good	Sweden	ERS16375033	sample processed and sequenced
SQYEDN	TNQVM4	L104775	1.8444	Masoala	02:00:00_PM	29/1/2020	Masoala	10:36:00_AM	5/2/2020	9876	good	Sweden	ERS16375187	sample processed and sequenced
S6YL4B	TR4LDL	L104765	4.5384	Mahavavy	05:01:37_AM	1/1/2020	Mahavavy	02:35:24_AM	8/1/2020	9934	good	Sweden	ERS16375039	sample processed and sequenced
SAGJVL	TULADB	L104766	0.6234	Tsitongambarika	10:10:05_AM	22/4/2020	Tsitongambarika	12:00:00_PM	29/4/2020	10190	good	Sweden	ERS16375062	sample processed and sequenced
SNT2N2	TKDVTA	L104767	1.7524	Tsitongambarika	03:41:52_PM	12/2/2020	Tsitongambarika	12:39:01_PM	19/2/2020	9897	good	Sweden	ERS16375167	sample processed and sequenced
SCBSRP	T9VS8I	L104770	3.9884	Masoala	11:00:00_AM	15/7/2020	Masoala	09:00:00_AM	22/7/2020	9960	good	Sweden	ERS16375078	sample processed and sequenced
SJDXLP	TKRH5P	L104771	3.0054	Namoroka	02:54:31_AM	1/1/2020	Namoroka	03:01:13_AM	8/1/2020	10087	good	Sweden	ERS16375142	sample processed and sequenced
SERXAX	TDKTHY	L104772	2.3544	Maromizaha	04:27:39_AM	11/9/2019	Maromizaha	10:15:06_AM	18/9/2019	10427	good	Sweden	ERS16375097	sample processed and sequenced
SGSJVA	TQKQRH	L104776	3.0054	Masoala	10:01:00_AM	20/5/2020	Masoala	12:00:00_PM	27/5/2020	10199	good	Sweden	ERS16375117	sample processed and sequenced
SMKYL9	TPSMAA	L104785	2.0304	Ambohitantely	10:36:00_PM	1/7/2020	Ambohitantely	03:58:00_PM	8/7/2020	9682	good	Sweden	ERS16375159	sample processed and sequenced
SIHJJX	TFWNLD	L104786	9.1014	Ankarafantsika	04:21:12_AM	21/8/2019	Ankarafantsika	05:13:19_AM	28/8/2019	10132	good	Sweden	ERS16375134	sample processed and sequenced
SZ98A8	TEGSKQ	L104787	7.6814	Ambatovy	10:56:00_AM	11/12/2019	Ambatovy	11:38:32_AM	18/12/2019	10123	acceptable	Sweden	ERS16375271	sample processed and sequenced
SE6F7C	TRGIDB	L104777	0.5804	Mananara	10:00:00_AM	15/7/2020	Mananara	10:00:00_AM	22/7/2020	10080	good	Sweden	ERS16375092	sample processed and sequenced
SCB35B	TKRH5P	L104778	2.5174	Namoroka	03:27:41_AM	25/3/2020	Namoroka	03:18:13_AM	1/4/2020	10071	good	Sweden	ERS16375077	sample processed and sequenced
SKQMF4	TAVVN5	L104779	1.6364	Montagne_d'Ambre	07:44:01_PM	1/4/2020	Montagne_d'Ambre	08:05:57_PM	8/4/2020	10102	poor	Sweden	ERS16375146	sample processed and sequenced
SFM4YK	TAVVN5	L104780	3.0964	Montagne_d'Ambre	08:06:16_PM	8/4/2020	Montagne_d'Ambre	08:06:02_PM	15/4/2020	10080	poor	Sweden	ERS16375104	sample processed and sequenced
S7ZFK2	TQKQRH	L104781	1.9164	Masoala	03:50:00_PM	25/3/2020	Masoala	02:43:00_PM	1/4/2020	10013	good	Sweden	ERS16375046	sample processed and sequenced
S75JGI	TPSMAA	L104782	3.8084	Ambohitantely	06:45:27_AM	20/11/2019	Ambohitantely	07:46:13_AM	26/11/2019	8701	good	Sweden	ERS16375040	sample processed and sequenced
SUK2BR	TAVVN5	L104783	5.2244	Montagne_d'Ambre	07:50:57_PM	23/10/2019	Montagne_d'Ambre	06:09:04_PM	30/10/2019	9978	good	Sweden	ERS16375218	sample processed and sequenced
SVMKZL	TRJZGH	L104784	3.4814	Marojejy	10:24:36_PM	23/10/2019	Marojejy	07:49:03_PM	30/10/2019	9924	good	Sweden	ERS16375233	sample processed and sequenced
SSZUXG	TE8SYJ	L104788	2.3194	Tsimanampesotse	07:50:47_AM	3/6/2020	Tsimanampesotse	08:52:05_AM	10/6/2020	10141	good	Sweden	ERS16375203	sample processed and sequenced
SXH3WN	TGJ4FW	L104797	0.4854	Kirindy	05:15:00_PM	1/7/2020	Kirindy	08:35:16_PM	8/7/2020	10280	good	Sweden	ERS16375253	sample processed and sequenced
SYUF8C	TIPGKX	L104798	1.2414	Cap_Sainte Marie	06:12:50_PM	11/3/2020	Cap_Sainte Marie	05:45:21_PM	18/3/2020	10053	good	Sweden	ERS16375265	sample processed and sequenced
SYVDMM	TW51Z9	L104799	8.8524	Orangea	12:00:05_PM	11/12/2019	Orangea	07:00:00_AM	18/12/2019	9780	good	Sweden	ERS16375267	sample processed and sequenced
SGJSYV	TNKTYG	L104789	2.0194	Montagne_d'Ambre	06:32:54_PM	18/9/2019	Montagne_d'Ambre	08:58:14_PM	25/9/2019	10225	good	Sweden	ERS16375114	sample processed and sequenced
SHPXFD	TW51Z9	L104790	10.8314	Orangea	06:41:22_AM	8/1/2020	Orangea	02:00:00_PM	15/1/2020	10519	good	Sweden	ERS16375127	sample processed and sequenced
SZ9PQX	TW51Z9	L104791	2.9354	Orangea	06:33:40_AM	3/6/2020	Orangea	06:36:25_AM	10/6/2020	10083	good	Sweden	ERS16375272	sample processed and sequenced
SGM33Y	TP2FUA	L104792	2.5344	Kirindy	08:46:11_PM	29/7/2020	Kirindy	11:00:00_PM	5/8/2020	10214	good	Sweden	ERS16375116	sample processed and sequenced
S7UAJK	TPSMAA	L104793	1.3304	Ambohitantely	08:35:00_PM	24/6/2020	Ambohitantely	10:00:00_PM	1/7/2020	10165	good	Sweden	ERS16375044	sample processed and sequenced
SHRVVH	THYGHQ	L104794	2.0974	Kirindy_Mitea	01:19:44_AM	1/4/2020	Kirindy_Mitea	02:54:09_AM	9/4/2020	11614	good	Sweden	ERS16375130	sample processed and sequenced
S3YUC1	TEGSKQ	L104795	4.0414	Ambatovy	03:52:00_PM	1/4/2020	Ambatovy	08:05:00_AM	8/4/2020	9613	good	Sweden	ERS16375028	sample processed and sequenced
SSX1NL	TPSMAA	L104796	1.5224	Ambohitantely	09:36:00_AM	22/7/2020	Ambohitantely	02:20:00_PM	29/7/2020	10364	good	Sweden	ERS16375201	sample processed and sequenced
SGBGT1	TKDVTA	L104800	1.1164	Tsitongambarika	06:40:00_PM	17/6/2020	Tsitongambarika	05:20:00_PM	24/6/2020	10000	good	Sweden	ERS16375112	sample processed and sequenced
SSPSIT	T4ZF4M	L104809	3.2394	Isalo	09:29:03_AM	4/12/2019	Isalo	08:32:21_AM	11/12/2019	10023	poor	Sweden	ERS16375198	sample processed and sequenced
S3VEXA	TKDVTA	L104801	2.4534	Tsitongambarika	02:31:59_AM	14/8/2019	Tsitongambarika	06:04:32_AM	21/8/2019	10293	good	Sweden	ERS16375027	sample processed and sequenced
SVNDH4	TRGIDB	L104802	1.6314	Mananara	12:00:00_PM	21/8/2019	Mananara	12:00:00_PM	28/8/2019	10080	good	Sweden	ERS16375234	sample processed and sequenced
S4EKNI	THGFVB	L104803	2.3984	Mahabo	04:57:00_PM	1/1/2020	Mahabo	07:05:26_AM	8/1/2020	9488	acceptable	Sweden	ERS16375030	sample processed and sequenced
SUYKS1	THYGHQ	L104804	3.2794	Kirindy_Mitea	02:33:27_AM	25/3/2020	Kirindy_Mitea	01:19:29_AM	1/4/2020	10006	good	Sweden	ERS16375224	sample processed and sequenced
S8KQIP	TRKQU5	L104805	0.8224	Ankarana	04:15:35_PM	11/9/2019	Ankarana	06:04:45_PM	18/9/2019	10189	good	Sweden	ERS16375051	sample processed and sequenced
S3P7VH	TULADB	L104806	1.5014	Tsitongambarika	09:57:08_AM	30/1/2020	Tsitongambarika	12:49:37_PM	5/2/2020	8812	good	Sweden	NA	sample processed and sequenced but sequencing failed
SUVAIT	TR4LDL	L104807	1.8394	Mahavavy	02:45:08_AM	26/2/2020	Mahavavy	03:04:41_AM	4/3/2020	10100	good	Sweden	ERS16375221	sample processed and sequenced
SZMTXR	THI5PX	L104808	1.2644	Analamerana	10:05:00_AM	9/10/2019	Analamerana	11:00:00_AM	16/10/2019	10135	good	Sweden	ERS16375273	sample processed and sequenced
SMDWHE	THYGHQ	L104812	8.3884	Kirindy_Mitea	02:00:00_PM	1/1/2020	Kirindy_Mitea	03:04:09_AM	8/1/2020	9424	good	Sweden	ERS16375156	sample processed and sequenced
SCYMCC	THYGHQ	L104813	1.9554	Kirindy_Mitea	02:16:01_AM	20/5/2020	Kirindy_Mitea	03:32:18_AM	27/5/2020	10156	good	Sweden	ERS16375083	sample processed and sequenced
SE2HZB	T4ZF4M	L104814	1.8664	Isalo	08:44:26_AM	26/2/2020	Isalo	10:01:14_AM	4/3/2020	10157	good	Sweden	ERS16375091	sample processed and sequenced
SS7T5J	TRGIDB	L104815	1.4034	Mananara	04:34:00_PM	27/5/2020	Mananara	12:00:00_PM	3/6/2020	9806	good	Sweden	ERS16375193	sample processed and sequenced
SBBAVB	THGFVB	L104816	1.6094	Mahabo	06:57:43_AM	15/7/2020	Mahabo	07:26:57_AM	22/7/2020	10109	good	Sweden	ERS16375067	sample processed and sequenced
S4YZBG	TRGIDB	L104817	1.6484	Mananara	12:00:02_PM	23/10/2019	Mananara	12:00:00_PM	30/10/2019	10080	good	Sweden	ERS16375032	sample processed and sequenced
SU6SA3	TAVVN5	L104818	2.7914	Montagne_d'Ambre	05:17:37_PM	9/10/2019	Montagne_d'Ambre	06:21:48_PM	16/10/2019	10144	good	Sweden	ERS16375216	sample processed and sequenced
SX1ACF	TRGIDB	L104819	1.3474	Mananara	10:19:00_AM	29/7/2020	Mananara	09:47:00_AM	5/8/2020	10048	good	Sweden	ERS16375252	sample processed and sequenced
SYZL6P	TRGIDB	L104820	1.6174	Mananara	12:05:00_PM	3/6/2020	Mananara	10:23:00_AM	10/6/2020	9978	good	Sweden	ERS16375270	sample processed and sequenced
SVHLZW	TNQVM4	L104829	0.9364	Masoala	10:14:00_AM	22/7/2020	Masoala	10:02:00_AM	29/7/2020	10068	good	Sweden	ERS16375229	sample processed and sequenced
SGU5PM	TPSMAA	L104830	0.6734	Ambohitantely	05:48:01_AM	17/6/2020	Ambohitantely	08:30:00_PM	24/6/2020	10962	good	Sweden	ERS16375118	sample processed and sequenced
SDVFBT	THGFVB	L104831	0.9534	Mahabo	06:52:38_AM	26/2/2020	Mahabo	07:37:37_AM	4/3/2020	10125	acceptable	Sweden	ERS16375088	sample processed and sequenced
S1QC3S	TKDVTA	L104821	4.0344	Tsitongambarika	03:22:57_PM	11/9/2019	Tsitongambarika	02:27:43_PM	18/9/2019	10025	good	Sweden	ERS16375014	sample processed and sequenced
SY7RM5	TPSMAA	L104822	6.4424	Ambohitantely	04:31:06_AM	6/11/2019	Ambohitantely	10:19:15_AM	13/11/2019	10428	good	Sweden	ERS16375258	sample processed and sequenced
SEFDKZ	TEE8KA	L104823	4.2224	Analalava	09:36:33_AM	8/1/2020	Analalava	02:32:57_PM	15/1/2020	10376	good	Sweden	ERS16375094	sample processed and sequenced
SH3PKF	T4ZF4M	L104824	1.7474	Isalo	09:29:17_AM	20/5/2020	Isalo	02:41:31_PM	27/5/2020	10392	good	Sweden	ERS16375124	sample processed and sequenced
SL8URG	THYGHQ	L104825	1.7604	Kirindy_Mitea	01:48:22_AM	22/4/2020	Kirindy_Mitea	02:05:34_AM	29/4/2020	10097	good	Sweden	ERS16375149	sample processed and sequenced
SPKLYV	TR4LDL	L104826	1.1254	Mahavavy	02:33:21_AM	20/5/2020	Mahavavy	02:37:19_AM	27/5/2020	10084	good	Sweden	ERS16375175	sample processed and sequenced
SPYDAB	TNQVM4	L104827	3.4384	Masoala	01:36:20_AM	28/8/2019	Masoala	03:40:32_AM	4/9/2019	10204	good	Sweden	ERS16375182	sample processed and sequenced
SCLV5K	TR4LDL	L104828	1.6764	Mahavavy	03:03:14_AM	14/8/2019	Mahavavy	12:00:00_PM	21/8/2019	10617	good	Sweden	ERS16375081	sample processed and sequenced
SV3SDN	TEE8KA	L104832	1.0354	Analalava	09:10:00_PM	22/7/2020	Analalava	09:05:00_PM	29/7/2020	10075	good	Sweden	ERS16375226	sample processed and sequenced
SB91SY	TDY8SA	L104841	1.3514	Anjozorobe	05:10:00_PM	3/6/2020	Anjozorobe	05:10:00_PM	10/6/2020	10080	good	Sweden	ERS16375066	sample processed and sequenced
SVLUVN	TAVVN5	L104842	0.9034	Montagne_d'Ambre	08:43:50_AM	22/7/2020	Montagne_d'Ambre	08:32:00_AM	29/7/2020	10068	good	Sweden	ERS16375232	sample processed and sequenced
SPR3S6	TNQVM4	L104843	3.5314	Masoala	02:00:00_PM	8/1/2020	Masoala	02:00:00_PM	15/1/2020	10080	good	Sweden	ERS16375179	sample processed and sequenced
STMVRL	THYGHQ	L104833	1.2524	Kirindy_Mitea	06:10:56_AM	15/7/2020	Kirindy_Mitea	07:00:00_AM	22/7/2020	10129	good	Sweden	ERS16375210	sample processed and sequenced
SMI7FC	TQKQRH	L104834	1.4984	Masoala	11:07:00_AM	29/7/2020	Masoala	10:42:00_AM	5/8/2020	10055	good	Sweden	ERS16375157	sample processed and sequenced
SPCYNR	TFBCWJ	L104835	2.5554	Tsitongambarika	10:05:00_PM	9/10/2019	Tsitongambarika	11:00:00_PM	16/10/2019	10135	good	Sweden	ERS16375174	sample processed and sequenced
STL3XR	TRGIDB	L104836	1.6564	Mananara	11:00:00_AM	1/7/2020	Mananara	11:00:00_AM	8/7/2020	10080	good	Sweden	ERS16375209	sample processed and sequenced
SQZK1C	TPSMAA	L104837	1.5984	Ambohitantely	08:23:28_AM	6/5/2020	Ambohitantely	05:37:55_AM	13/5/2020	9914	good	Sweden	ERS16375188	sample processed and sequenced
S7WLHN	TIYMCS	L104838	1.1694	Zombitse	02:54:19_AM	16/10/2019	Zombitse	01:20:04_AM	23/10/2019	9986	good	Sweden	ERS16375045	sample processed and sequenced
S7EMMI	TAVVN5	L104839	3.9974	Montagne_d'Ambre	08:11:34_PM	13/11/2019	Montagne_d'Ambre	08:15:00_AM	20/11/2019	9363	good	Sweden	ERS16375041	sample processed and sequenced
SI5BL6	TNQVM4	L104840	9.1264	Masoala	12:00:00_PM	27/5/2020	Masoala	07:13:00_PM	3/6/2020	10513	good	Sweden	ERS16375133	sample processed and sequenced
SUWGBY	TN1QSL	L104844	4.1994	Baie	03:13:09_AM	29/4/2020	Baie	03:03:17_AM	6/5/2020	10070	good	Sweden	ERS16375222	sample processed and sequenced
SYEQCB	TK1MIJ	L104854	4.2934	Daraina	06:05:01_AM	18/12/2019	Daraina	06:33:53_AM	25/12/2019	10109	good	Sweden	ERS16375261	sample processed and sequenced
SLSYWJ	TFWNLD	L104855	5.4334	Ankarafantsika	05:54:02_AM	18/9/2019	Ankarafantsika	04:34:01_AM	25/9/2019	10000	good	Sweden	ERS16375151	sample processed and sequenced
SJDSVA	TRJZGH	L104845	1.6474	Marojejy	08:49:32_PM	11/3/2020	Marojejy	09:25:03_PM	18/3/2020	10116	good	Sweden	ERS16375141	sample processed and sequenced
S8RQ1C	TGJ4FW	L104846	2.0164	Kirindy	09:15:00_PM	28/8/2019	Kirindy	08:51:37_PM	4/9/2019	10057	good	Sweden	ERS16375053	sample processed and sequenced
STFZS8	THI5PX	L104847	9.4324	Analamerana	04:44:08_AM	18/12/2019	Analamerana	03:42:17_AM	25/12/2019	10018	good	Sweden	ERS16375207	sample processed and sequenced
SFQYNQ	TPQKYN	L104848	5.7364	Marontandrano	02:00:00_PM	5/2/2020	Marontandrano	10:04:00_AM	12/2/2020	9844	good	Sweden	ERS16375105	sample processed and sequenced
SINUFK	TIPGKX	L104849	1.4884	Cap_Sainte Marie	07:58:56_AM	29/4/2020	Cap_Sainte Marie	03:10:00_PM	6/5/2020	10511	good	Sweden	ERS16375136	sample processed and sequenced
SWYKSA	TPQKYN	L104850	3.2694	Marontandrano	02:00:00_PM	15/1/2020	Marontandrano	02:00:00_PM	22/1/2020	10080	good	Sweden	ERS16375250	sample processed and sequenced
SWMW7U	TGJ4FW	L104851	2.7944	Kirindy	09:10:32_PM	23/10/2019	Kirindy	03:16:12_AM	31/10/2019	10446	good	Sweden	ERS16375246	sample processed and sequenced
SFFSSJ	TRA8W1	L104856	5.5574	Marojejy	10:43:43_PM	5/2/2020	Marojejy	10:01:09_PM	12/2/2020	10037	good	Sweden	ERS16375102	sample processed and sequenced
SLTDK8	TQKQRH	L104865	3.1814	Masoala	11:00:00_AM	24/6/2020	Masoala	11:20:00_AM	1/7/2020	10100	good	Sweden	ERS16375152	sample processed and sequenced
SAXDIA	TP2FUA	L104866	12.4484	Kirindy	12:56:50_AM	18/12/2019	Kirindy	10:00:00_AM	25/12/2019	10623	good	Sweden	ERS16375064	sample processed and sequenced
SJWDAB	TRJZGH	L104867	1.7724	Marojejy	07:39:41_PM	29/4/2020	Marojejy	07:30:56_PM	6/5/2020	10071	good	Sweden	ERS16375144	sample processed and sequenced
SP1BZI	TR4LDL	L104857	1.5004	Mahavavy	02:37:41_AM	27/5/2020	Mahavavy	02:09:41_AM	3/6/2020	10052	good	Sweden	ERS16375170	sample processed and sequenced
SL5J4B	TFWNLD	L104858	4.5654	Ankarafantsika	04:34:31_AM	25/9/2019	Ankarafantsika	03:51:22_AM	2/10/2019	10037	good	Sweden	ERS16375148	sample processed and sequenced
SH2JGM	TW51Z9	L104859	7.2964	Orangea	01:10:00_PM	20/11/2019	Orangea	01:15:56_AM	27/11/2019	9366	good	Sweden	ERS16375122	sample processed and sequenced
STNIUD	TPQKYN	L104860	3.2804	Marontandrano	12:20:10_PM	13/11/2019	Marontandrano	12:00:00_PM	20/11/2019	10060	good	Sweden	ERS16375211	sample processed and sequenced
SCXS9Z	TPQKYN	L104861	5.9874	Marontandrano	09:05:00_AM	23/10/2019	Marontandrano	08:10:00_AM	30/10/2019	10025	good	Sweden	ERS16375082	sample processed and sequenced
SHVTHA	TW51Z9	L104862	8.6604	Orangea	06:49:07_AM	12/2/2020	Orangea	06:39:59_AM	19/2/2020	10071	acceptable	Sweden	ERS16375131	sample processed and sequenced
S9E9XS	TW51Z9	L104863	7.4204	Orangea	12:10:00_PM	13/11/2019	Orangea	01:05:00_PM	20/11/2019	10135	good	Sweden	ERS16375057	sample processed and sequenced
S2W6BY	TPQKYN	L104864	7.1814	Marontandrano	03:00:00_PM	18/12/2019	Marontandrano	12:00:00_PM	25/12/2019	9900	good	Sweden	ERS16375019	sample processed and sequenced
S8TI22	TPQKYN	L104868	3.0994	Marontandrano	04:31:00_PM	27/5/2020	Marontandrano	12:00:00_PM	3/6/2020	9809	good	Sweden	ERS16375054	sample processed and sequenced
SPQJTJ	TAHDZD	L104877	1.7254	Marojejy	07:21:33_PM	18/9/2019	Marojejy	06:20:15_PM	25/9/2019	10019	good	Sweden	ERS16375177	sample processed and sequenced
SHEHXC	TRJZGH	L104878	4.5214	Marojejy	08:29:04_PM	11/12/2019	Marojejy	07:32:34_PM	18/12/2019	10024	good	Sweden	ERS16375126	sample processed and sequenced
SBBWJS	TYBVPP	L104879	3.7354	Bezaha	08:43:35_PM	15/1/2020	Bezaha	09:01:23_AM	22/1/2020	9378	good	Sweden	ERS16375068	sample processed and sequenced
S227RG	TP2FUA	L104869	1.7104	Kirindy	08:05:00_PM	1/4/2020	Kirindy	10:05:00_AM	8/4/2020	9480	good	Sweden	ERS16375017	sample processed and sequenced
SZVQ4H	TW51Z9	L104870	5.6004	Orangea	01:04:32_AM	16/10/2019	Orangea	11:13:42_AM	23/10/2019	10689	good	Sweden	ERS16375276	sample processed and sequenced
SSQXRA	TUH8A4	L104871	6.4474	Ankarafantsika	03:52:45_AM	25/9/2019	Ankarafantsika	02:55:47_AM	2/10/2019	10023	good	Sweden	ERS16375199	sample processed and sequenced
S8B5LE	TFWNLD	L104872	9.4964	Ankarafantsika	05:13:37_AM	28/8/2019	Ankarafantsika	03:47:45_AM	5/9/2019	11434	good	Sweden	ERS16375049	sample processed and sequenced
