	sampleID_HISTORICAL	sampleID_FIELD	sampleID_LAB	dataset	lab_sample_type	country	biological_spikes	artificial_spikes	sample_metadata_file	lysate_rack_ID	lysate_well_ID	dna_plate_ID	dna_plate_well_ID	sequencing_batch	sequencing_batch_NGI	notes_sequencing	study_accession_ENA	sample_accession_ENA	experiment_accession_ENA	run_accession_ENA	RC	Mreads	>=Q30
P27359_1011	FL054_L104922	SVAAIA	L104922	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	A11	3000491392.0	A11	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375638	ERX11435939	ERR12052718	0.45	87.97	
P27359_1012	FL054_L104923	SVVSTM	L104923	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	A12	3000491392.0	A12	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375660	ERX11435940	ERR12052719	0.94	88.61	
P27359_1013	FL054_L104924	SKZXVU	L104924	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	B1	3000491392.0	B1	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375480	ERX11435941	ERR12052720	1.34	88.21	
P27359_1014	FL054_L104925	SLGCWX	L104925	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	B2	3000491392.0	B2	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375487	ERX11435942	ERR12052721	0.47	88.76	
P27359_1015	FL054_L104926	SVQG89	L104926	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	B3	3000491392.0	B3	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375653	ERX11435943	ERR12052722	0.9	86.86	
P27359_1016	FL054_L104927	SQ75NU	L104927	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	B4	3000491392.0	B4	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375547	ERX11435944	ERR12052723	1.61	88.91	
P27359_1017	FL054_L104928	STCYI1	L104928	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	B5	3000491392.0	B5	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375608	ERX11435945	ERR12052724	1.17	87.98	
P27359_1018	FL054_L104929	SZXMXE	L104929	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	B6	3000491392.0	B6	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375711	ERX11435946	ERR12052725	0.14	85.38	
P27359_1019	FL054_L104930	SFGW6S	L104930	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	B7	3000491392.0	B7	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375398	ERX11435947	ERR12052726	0.88	88.1	
P27359_1020	FL054_L104931	SKC1QA	L104931	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	B8	3000491392.0	B8	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375468	ERX11435948	ERR12052727	0.48	88.31	
P27359_1021	FL054_L104932	SXP2R4	L104932	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	B9	3000491392.0	B9	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375689	ERX11435949	ERR12052728	0.11	87.41	
P27359_1022	FL054_L104933	SLFKL3	L104933	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	B10	3000491392.0	B10	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375486	ERX11435950	ERR12052729	0.72	88.71	
P27359_1023	FL054_L104934	SZCEIZ	L104934	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	B11	3000491392.0	B11	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375707	ERX11435951	ERR12052730	0.58	87.85	
P27359_1024	FL054_L104935	SIK3IM	L104935	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	B12	3000491392.0	B12	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375440	ERX11435952	ERR12052731	0.32	84.45	
P27359_1025	FL054_L104936		L104936	CO1_lysate_2019_MG	buffer_blank	Madagascar	False	False		FL054	C1	3000491392.0	C1	batch14	P27359	sequencing successfull	PRJEB61109	ERS16376967	ERX11435953	ERR12052732	0.0	87.94	
P27359_1026	FL054_L104937		L104937	CO1_lysate_2019_MG	mock_sample	Madagascar	True	False		FL054	C2	3000491392.0	C2	batch14	P27359	sequencing successfull	PRJEB61109	ERS16377038	ERX11435954	ERR12052733	1.36	89.26	
P27359_1027	FL054_L104938	S7GYN6	L104938	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	C3	3000491392.0	C3	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375318	ERX11435955	ERR12052734	0.77	87.36	
P27359_1028	FL054_L104939	S2A4X8	L104939	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	C4	3000491392.0	C4	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375282	ERX11435956	ERR12052735	1.04	87.86	
P27359_1029	FL054_L104940	SSYYRL	L104940	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	C5	3000491392.0	C5	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375602	ERX11435957	ERR12052736	1.73	88.88	
P27359_1030	FL054_L104941	SPINMQ	L104941	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	C6	3000491392.0	C6	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375535	ERX11435958	ERR12052737	0.64	88.68	
P27359_1031	FL054_L104942	SWFATT	L104942	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	C7	3000491392.0	C7	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375668	ERX11435959	ERR12052738	0.61	88.56	
P27359_1032	FL054_L104943	S29GDP	L104943	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	C8	3000491392.0	C8	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375281	ERX11435960	ERR12052739	0.65	87.97	
P27359_1033	FL054_L104944	SMZY3H	L104944	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	C9	3000491392.0	C9	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375520	ERX11435961	ERR12052740	2.09	88.54	
P27359_1034	FL054_L104945	SRIHAH	L104945	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	C10	3000491392.0	C10	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375578	ERX11435962	ERR12052741	0.91	87.71	
P27359_1035	FL054_L104946	STGLFK	L104946	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	C11	3000491392.0	C11	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375612	ERX11435963	ERR12052742	0.77	87.87	
P27359_1036	FL054_L104947	SH6BP9	L104947	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	C12	3000491392.0	C12	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375424	ERX11435964	ERR12052743	1.96	88.81	
P27359_1037	FL054_L104948	S9CEEK	L104948	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	D1	3000491392.0	D1	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375329	ERX11435965	ERR12052744	1.22	88.21	
P27359_1038	FL054_L104949	SLXJWR	L104949	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	D2	3000491392.0	D2	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375496	ERX11435966	ERR12052745	0.7	88.41	
P27359_1039	FL054_L104950	SVME5L	L104950	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	D3	3000491392.0	D3	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375651	ERX11435967	ERR12052746	1.61	88.12	
P27359_1040	FL054_L104951	SCCVYS	L104951	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	D4	3000491392.0	D4	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375364	ERX11435968	ERR12052747	1.61	88.17	
P27359_1041	FL054_L104952	SZSCGF	L104952	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	D5	3000491392.0	D5	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375710	ERX11435969	ERR12052748	0.93	88.04	
P27359_1042	FL054_L104953	S1DDKX	L104953	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	D6	3000491392.0	D6	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375277	ERX11435970	ERR12052749	0.4	87.93	
P27359_1043	FL054_L104954	SXMN4K	L104954	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	D7	3000491392.0	D7	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375688	ERX11435971	ERR12052750	1.35	87.95	
P27359_1044	FL054_L104955	SHIXJZ	L104955	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	D8	3000491392.0	D8	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375429	ERX11435972	ERR12052751	0.59	87.46	
P27359_1045	FL054_L104956	S6QRW8	L104956	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	D9	3000491392.0	D9	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375310	ERX11435973	ERR12052752	0.03	88.17	
P27359_1046	FL054_L104957	SIQQA4	L104957	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	D10	3000491392.0	D10	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375445	ERX11435974	ERR12052753	1.48	88.52	
P27359_1047	FL054_L104958	SU5I7Y	L104958	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	D11	3000491392.0	D11	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375624	ERX11435975	ERR12052754	0.39	86.77	
P27359_1048	FL054_L104959	SVRGVE	L104959	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	D12	3000491392.0	D12	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375655	ERX11435976	ERR12052755	1.71	88.01	
P27359_1049	FL054_L104960	SSWHUD	L104960	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	E1	3000491392.0	E1	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375598	ERX11435977	ERR12052756	1.52	88.69	
P27359_1050	FL054_L104961	SX563R	L104961	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	E2	3000491392.0	E2	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375682	ERX11435978	ERR12052757	0.95	88.13	
P27359_1051	FL054_L104962	SXHEXU	L104962	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	E3	3000491392.0	E3	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375685	ERX11435979	ERR12052758	1.25	88.41	
P27359_1052	FL054_L104963	SQXTLN	L104963	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	E4	3000491392.0	E4	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375565	ERX11435980	ERR12052759	0.8	87.23	
P27359_1053	FL054_L104964	SCKK2D	L104964	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	E5	3000491392.0	E5	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375370	ERX11435981	ERR12052760	0.41	88.66	
P27359_1054	FL054_L104965	SKKAPL	L104965	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	E6	3000491392.0	E6	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375472	ERX11435982	ERR12052761	0.92	87.66	
P27359_1055	FL054_L104966	S6G8FK	L104966	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	E7	3000491392.0	E7	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375309	ERX11435983	ERR12052762	0.01	88.0	
P27359_1056	FL054_L104967	SZCDTC	L104967	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	E8	3000491392.0	E8	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375706	ERX11435984	ERR12052763	1.1	88.2	
P27359_1057	FL054_L104968	S9ZT1W	L104968	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	E9	3000491392.0	E9	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375333	ERX11435985	ERR12052764	0.37	87.96	
P27359_1058	FL054_L104969	SIRXE4	L104969	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	E10	3000491392.0	E10	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375448	ERX11435986	ERR12052765	1.46	88.06	
P27359_1059	FL054_L104970	SHVWHK	L104970	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	E11	3000491392.0	E11	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375432	ERX11435987	ERR12052766	0.8	86.41	
P27359_1060	FL054_L104971	S6DXZF	L104971	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	E12	3000491392.0	E12	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375308	ERX11435988	ERR12052767	0.6	87.7	
P27359_1061	FL054_L104972	SNIJEN	L104972	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	F1	3000491392.0	F1	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375525	ERX11435989	ERR12052768	0.65	87.48	
P27359_1062	FL054_L104973	SDMUGG	L104973	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	F2	3000491392.0	F2	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375380	ERX11435990	ERR12052769	0.61	87.87	
P27359_1063	FL054_L104974	SN1MUJ	L104974	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	F3	3000491392.0	F3	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375521	ERX11435991	ERR12052770	0.47	87.27	
P27359_1064	FL054_L104975	SHXQ38	L104975	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	F4	3000491392.0	F4	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375434	ERX11435992	ERR12052771	0.37	88.15	
P27359_1065	FL054_L104976	SKGVUN	L104976	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	F5	3000491392.0	F5	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375470	ERX11435993	ERR12052772	0.39	88.37	
P27359_1066	FL054_L104977	SC6XJG	L104977	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	F6	3000491392.0	F6	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375361	ERX11435994	ERR12052773	0.59	89.33	
P27359_1067	FL054_L104978		L104978	CO1_lysate_2019_MG	buffer_blank	Madagascar	False	False		FL054	F7	3000491392.0	F7	batch14	P27359	sequencing successfull	PRJEB61109	ERS16376969	ERX11435995	ERR12052774	0.0	85.9	
P27359_1068	FL054_L104979		L104979	CO1_lysate_2019_MG	mock_sample	Madagascar	True	False		FL054	F8	3000491392.0	F8	batch14	P27359	sequencing successfull	PRJEB61109	ERS16377039	ERX11435996	ERR12052775	0.32	89.54	
P27359_1069	FL054_L104980	S4ZJWW	L104980	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	F9	3000491392.0	F9	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375304	ERX11435997	ERR12052776	0.5	88.51	
P27359_1070	FL054_L104981	SDFPBD	L104981	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	F10	3000491392.0	F10	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375376	ERX11435998	ERR12052777	1.16	88.13	
P27359_1071	FL054_L104982	SRZ5QC	L104982	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	F11	3000491392.0	F11	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375588	ERX11435999	ERR12052778	0.74	86.93	
P27359_1072	FL054_L104983	SWSNSY	L104983	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	F12	3000491392.0	F12	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375676	ERX11436000	ERR12052779	0.34	88.6	
P27359_1073	FL054_L104984	S9WEPV	L104984	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	G1	3000491392.0	G1	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375332	ERX11436001	ERR12052780	0.84	88.1	
P27359_1074	FL054_L104985	SNIB2K	L104985	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	G2	3000491392.0	G2	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375524	ERX11436002	ERR12052781	0.45	88.59	
P27359_1075	FL054_L104986	SRY85Q	L104986	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	G3	3000491392.0	G3	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375587	ERX11436003	ERR12052782	1.26	88.32	
P27359_1076	FL054_L104987	SUCPW3	L104987	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	G4	3000491392.0	G4	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375627	ERX11436004	ERR12052783	0.69	87.82	
P27359_1077	FL054_L104988	SYY7GN	L104988	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	G5	3000491392.0	G5	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375703	ERX11436005	ERR12052784	0.04	87.12	
P27359_1078	FL054_L104989	SCBBDG	L104989	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	G6	3000491392.0	G6	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375363	ERX11436006	ERR12052785	26.17	87.66	
P27359_1079	FL054_L104990	SJCXPA	L104990	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	G7	3000491392.0	G7	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375456	ERX11436007	ERR12052786	0.92	87.91	
P27359_1080	FL054_L104991	SIZT5X	L104991	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	G8	3000491392.0	G8	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375453	ERX11436008	ERR12052787	1.26	88.8	
P27359_1081	FL054_L104992	SVGXEG	L104992	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	G9	3000491392.0	G9	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375645	ERX11436009	ERR12052788	0.84	88.52	
P27359_1082	FL054_L104993	SERJII	L104993	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	G10	3000491392.0	G10	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375393	ERX11436010	ERR12052789	1.3	85.79	
P27359_1083	FL054_L104994	SPJZGR	L104994	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	G11	3000491392.0	G11	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375536	ERX11436011	ERR12052790	0.72	88.0	
P27359_1084	FL054_L104995	SRJA36	L104995	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	G12	3000491392.0	G12	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375581	ERX11436012	ERR12052791	1.14	88.42	
P27359_1085	FL054_L104996	SBKHJD	L104996	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	H1	3000491392.0	H1	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375357	ERX11436013	ERR12052792	1.92	87.23	
P27359_1086	FL054_L104997	SL1CTU	L104997	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	H2	3000491392.0	H2	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375481	ERX11436014	ERR12052793	0.33	87.38	
P27359_1087	FL054_L104998	SGZEU3	L104998	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	H3	3000491392.0	H3	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375422	ERX11436015	ERR12052794	1.58	88.09	
P27359_1088	FL054_L104999	SWADF7	L104999	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	H4	3000491392.0	H4	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375663	ERX11436016	ERR12052795	1.23	87.46	
P27359_1089	FL054_L105000	SJQ87B	L105000	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	H5	3000491392.0	H5	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375459	ERX11436017	ERR12052796	0.46	87.87	
P27359_1090	FL054_H201001	SC7TA1	H201001	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	H6	3000491392.0	H6	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375362	ERX11436018	ERR12052797	0.74	87.32	
P27359_1091	FL054_H201002	SRHXBG	H201002	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	H7	3000491392.0	H7	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375576	ERX11436019	ERR12052798	0.91	88.72	
P27359_1092	FL054_H201003	SW7ZDK	H201003	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL054	H8	3000491392.0	H8	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375662	ERX11436020	ERR12052799	0.13	87.85	
P27359_1093	FL054_neg		FL054_neg	CO1_lysate_2019_MG	extraction_neg	Madagascar	False	False		FL054		3000491392.0		batch14	P27359	sequencing successfull	PRJEB61109	ERS16377004	ERX11436021	ERR12052800	0.0	86.03	
P27359_1094	FL054_pos		FL054_pos	CO1_lysate_2019_MG	positive_control	Madagascar	False	False		FL054		3000491392.0		batch14	P27359	sequencing successfull	PRJEB61109	ERS16377118	ERX11436022	ERR12052801	2.42	87.99	
P27359_1095	FL054_Neg_PCR		FL054_Neg_PCR	CO1_lysate_2019_MG	pcr_neg	Madagascar	False	False		FL054				batch14	P27359	sequencing successfull	PRJEB61109	ERS16377078	ERX11436023	ERR12052802	0.0	86.13	
P27359_1097	FL057_H201188		H201188	CO1_lysate_2019_MG	buffer_blank	Madagascar	False	False		FL057	A1	3000491462.0	A1	batch14	P27359	sequencing successfull	PRJEB61109	ERS16376961	ERX11436024	ERR12052803	0.0	85.45	
P27359_1098	FL057_H201189		H201189	CO1_lysate_2019_MG	mock_sample	Madagascar	True	False		FL057	A2	3000491462.0	A2	batch14	P27359	sequencing successfull	PRJEB61109	ERS16377031	ERX11436025	ERR12052804	1.02	88.77	
