"sampleID_NGI"	"sampleID_HISTORICAL"	"sampleID_FIELD"	"sampleID_LAB"	"dataset"	"lab_sample_type"	"country"	"biological_spikes"	"artificial_spikes"	"sample_metadata_file"	"lysate_rack_ID"	"lysate_well_ID"	"dna_plate_ID"	"dna_plate_well_ID"	"sequencing_batch"	"sequencing_batch_NGI"	"notes_lab"	"sequencing_status"	"study_accession_ENA"	"sample_accession_ENA"	"experiment_accession_ENA"	"run_accession_ENA"
"P20863_1032"	"L100507"	"SXJJBV"	"L100507"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"H4"	"3000491410"	"H4"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365460"	"ERX11425177"	"ERR12041975"
"P20863_1033"	"L100424"	"SYHDV6"	"L100424"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"A5"	"3000491410"	"A5"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365461"	"ERX11425178"	"ERR12041976"
"P20863_1034"	"L100436"	"SBEQJ5"	"L100436"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"B5"	"3000491410"	"B5"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365462"	"ERX11425179"	"ERR12041977"
"P20863_1035"	"L100448"	"SSMSBR"	"L100448"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"C5"	"3000491410"	"C5"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365463"	"ERX11425180"	"ERR12041978"
"P20863_1036"	"L100460"	"S59DY5"	"L100460"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"D5"	"3000491410"	"D5"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365464"	"ERX11425181"	"ERR12041979"
"P20863_1038"	"L100484"	"SWEFDM"	"L100484"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"F5"	"3000491410"	"F5"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365465"	"ERX11425182"	"ERR12041980"
"P20863_1039"	"L100496"	"SFTJMM"	"L100496"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"G5"	"3000491410"	"G5"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365466"	"ERX11425183"	"ERR12041981"
"P20863_1040"	"L100508"	"SLGY74"	"L100508"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"H5"	"3000491410"	"H5"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365467"	"ERX11425184"	"ERR12041982"
"P20863_1041"	"L100425"	"SWMTUH"	"L100425"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"A6"	"3000491410"	"A6"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365468"	"ERX11425185"	"ERR12041983"
"P20863_1042"	"L100437"	"S7LR43"	"L100437"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"B6"	"3000491410"	"B6"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365469"	"ERX11425186"	"ERR12041984"
"P20863_1043"	"L100449"	"SU8N9I"	"L100449"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"C6"	"3000491410"	"C6"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365470"	"ERX11425187"	"ERR12041985"
"P20863_1044"	"L100461"	"SGBCNK"	"L100461"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"D6"	"3000491410"	"D6"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365471"	"ERX11425188"	"ERR12041986"
"P20863_1045"	"L100473"	"SAM2CP"	"L100473"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"E6"	"3000491410"	"E6"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365472"	"ERX11425189"	"ERR12041987"
"P20863_1046"	"L100485"	"SXTKFF"	"L100485"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"F6"	"3000491410"	"F6"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365473"	"ERX11425190"	"ERR12041988"
"P20863_1047"	"L100497"	"SIRGAU"	"L100497"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"G6"	"3000491410"	"G6"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365474"	"ERX11425191"	"ERR12041989"
"P20863_1048"	"L100509"	"SRXWXY"	"L100509"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"H6"	"3000491410"	"H6"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365475"	"ERX11425192"	"ERR12041990"
"P20863_1049"	"L100426"	"S1EXLJ"	"L100426"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"A7"	"3000491410"	"A7"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365476"	"ERX11425193"	"ERR12041991"
"P20863_1050"	"L100438"	"SYWLSQ"	"L100438"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"B7"	"3000491410"	"B7"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365477"	"ERX11425194"	"ERR12041992"
"P20863_1051"	"L100450"	"SEA6N2"	"L100450"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"C7"	"3000491410"	"C7"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365478"	"ERX11425195"	"ERR12041993"
"P20863_1052"	"L100462"	"SRB3AH"	"L100462"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"D7"	"3000491410"	"D7"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365479"	"ERX11425196"	"ERR12041994"
"P20863_1053"	"L100474"	"SQYHCJ"	"L100474"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"E7"	"3000491410"	"E7"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365480"	"ERX11425197"	"ERR12041995"
"P20863_1054"	"L100486"	"SQFRSD"	"L100486"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"F7"	"3000491410"	"F7"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365481"	"ERX11425198"	"ERR12041996"
"P20863_1055"	"L100498"	"STVBJR"	"L100498"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"G7"	"3000491410"	"G7"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365482"	"ERX11425199"	"ERR12041997"
"P20863_1056"	"L100510"	"SD7TPF"	"L100510"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"H7"	"3000491410"	"H7"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365483"	"ERX11425200"	"ERR12041998"
"P20863_1057"	"L100427"	"SHVY4Q"	"L100427"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"A8"	"3000491410"	"A8"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365484"	"ERX11425201"	"ERR12041999"
"P20863_1058"	"L100439"	"SDARX7"	"L100439"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"B8"	"3000491410"	"B8"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365485"	"ERX11425202"	"ERR12042000"
"P20863_1060"	"L100463"	"SZ3WUV"	"L100463"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"D8"	"3000491410"	"D8"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365486"	"ERX11425203"	"ERR12042001"
"P20863_1061"	"L100475"	"SR128C"	"L100475"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"E8"	"3000491410"	"E8"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365487"	"ERX11425204"	"ERR12042002"
"P20863_1062"	"L100487"	"SNCENZ"	"L100487"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"F8"	"3000491410"	"F8"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365488"	"ERX11425205"	"ERR12042003"
"P20863_1063"	"L100499"	"SNKFSC"	"L100499"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"G8"	"3000491410"	"G8"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365489"	"ERX11425206"	"ERR12042004"
"P20863_1064"	"L100511"	"ST5PUG"	"L100511"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"H8"	"3000491410"	"H8"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365490"	"ERX11425207"	"ERR12042005"
"P20863_1065"	"L100428"	"SLN1R9"	"L100428"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"A9"	"3000491410"	"A9"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365491"	"ERX11425208"	"ERR12042006"
"P20863_1066"	"L100440"	"SF9AKN"	"L100440"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"B9"	"3000491410"	"B9"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365492"	"ERX11425209"	"ERR12042007"
"P20863_1067"	"L100452"	"SNIMUW"	"L100452"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"C9"	"3000491410"	"C9"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365493"	"ERX11425210"	"ERR12042008"
"P20863_1068"	"L100464"	"S8IYIS"	"L100464"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"D9"	"3000491410"	"D9"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365494"	"ERX11425211"	"ERR12042009"
"P20863_1069"	"L100476"	"SAFFA5"	"L100476"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"E9"	"3000491410"	"E9"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365495"	"ERX11425212"	"ERR12042010"
"P20863_1070"	"L100488"	"SVM4W7"	"L100488"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"F9"	"3000491410"	"F9"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365496"	"ERX11425213"	"ERR12042011"
"P20863_1071"	"L100500"	"SJ5XGP"	"L100500"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"G9"	"3000491410"	"G9"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365497"	"ERX11425214"	"ERR12042012"
"P20863_1072"	"L100512"	"SLIKK5"	"L100512"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"H9"	"3000491410"	"H9"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365498"	"ERX11425215"	"ERR12042013"
"P20863_1073"	"L100429"	"SJ9MYU"	"L100429"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"A10"	"3000491410"	"A10"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365499"	"ERX11425216"	"ERR12042014"
"P20863_1074"	"L100441"	"SCZVQP"	"L100441"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"B10"	"3000491410"	"B10"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365500"	"ERX11425217"	"ERR12042015"
"P20863_1075"	"L100453"	"SDIS6K"	"L100453"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"C10"	"3000491410"	"C10"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365501"	"ERX11425218"	"ERR12042016"
"P20863_1076"	"L100465"	"SGIH83"	"L100465"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"D10"	"3000491410"	"D10"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365502"	"ERX11425219"	"ERR12042017"
"P20863_1077"	"L100477"	"SRQ7RH"	"L100477"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"E10"	"3000491410"	"E10"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365503"	"ERX11425220"	"ERR12042018"
"P20863_1078"	"L100489"	"S1JUSM"	"L100489"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"F10"	"3000491410"	"F10"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365504"	"ERX11425221"	"ERR12042019"
"P20863_1079"	"L100501"	"SVH5ZS"	"L100501"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"G10"	"3000491410"	"G10"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365505"	"ERX11425222"	"ERR12042020"
"P20863_1080"	"L100513"	"SYPGB5"	"L100513"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"H10"	"3000491410"	"H10"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365506"	"ERX11425223"	"ERR12042021"
"P20863_1081"	"L100430"	"SFUGXT"	"L100430"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"A11"	"3000491410"	"A11"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365507"	"ERX11425224"	"ERR12042022"
"P20863_1082"	"L100442"	"SCPK2Z"	"L100442"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"B11"	"3000491410"	"B11"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365508"	"ERX11425225"	"ERR12042023"
"P20863_1083"	"L100454"	"S2USKL"	"L100454"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"C11"	"3000491410"	"C11"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365509"	"ERX11425226"	"ERR12042024"
"P20863_1084"	"L100466"	"SRNSBG"	"L100466"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"D11"	"3000491410"	"D11"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365510"	"ERX11425227"	"ERR12042025"
"P20863_1085"	"L100478"	"SH9HUQ"	"L100478"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"E11"	"3000491410"	"E11"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365511"	"ERX11425228"	"ERR12042026"
"P20863_1086"	"L100490"	"SBXNML"	"L100490"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"F11"	"3000491410"	"F11"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365512"	"ERX11425229"	"ERR12042027"
"P20863_1087"	"L100502"	"SJPVP6"	"L100502"	"CO1_lysate_2019_SE"	"sample"	"Sweden"	TRUE	FALSE	"samples_metadata_malaise_SE_2019.tsv"	"FL005"	"G11"	"3000491410"	"G11"	"batch04"	"P20863"	NA	"sequencing successful"	"PRJEB61109"	"ERS16365513"	"ERX11425230"	"ERR12042028"
