sampleID_FIELD	trapID	biomass_grams	placing_user	placing_time	placing_date	collecting_user	collecting_time	collecting_date	duration_min	trap_condition_collection	sample_ethanol_conc	processing_group	sample_accession_ENA	sample_status
SWEFDM	TRXMCY	2.428	Jan_Nilsson	10:54:40_AM	27/10/2019	Jan_Nilsson	11:46:47_AM	30/11/2019	49012	poor	88.8	Lysis_first	ERS16365465	sample processed and sequenced
SFTJMM	TGTDBY	4.124	Krister_Ljung	9:43:40_AM	21/9/2019	Krister_Ljung	9:37:09_AM	29/9/2019	11513	good	94.2	Lysis_first	ERS16365466	sample processed and sequenced
SLGY74	TM4GA9	4.334	Helene_Johansson	7:51:25_AM	9/8/2019	Helene_Johansson	2:17:17_PM	16/8/2019	10466	good	94.1	Lysis_first	ERS16365467	sample processed and sequenced
SWMTUH	TEYZYN	9.034	Mats_Hannevad	10:04:52_AM	3/8/2019	Mats_Hannevad	1:13:45_PM	10/8/2019	10269	good	93.5	Lysis_first	ERS16365468	sample processed and sequenced
S7LR43	TGX4C7	6.101	Baatel_Enekvist	9:41:44_AM	10/8/2019	Baatel_Enekvist	10:15:49_AM	17/8/2019	10114	good	93.6	Lysis_first	ERS16365469	sample processed and sequenced
SU8N9I	TWLJ2P	4.357	Amanda_Brising	4:33:11_PM	28/9/2019	Amanda_Brising	10:10:06_AM	26/10/2019	39937	good	93.3	Lysis_first	ERS16365470	sample processed and sequenced
SGBCNK	TV6Z5Y	6.797	Richard_Olofsson	3:55:55_PM	25/8/2019	Jan_Nilsson	3:01:31_PM	30/8/2019	7146	good	93.8	Lysis_first	ERS16365471	sample processed and sequenced
SAM2CP	TIAIK1	0.599	Jan_Nilsson	1:49:48_PM	22/9/2019	Jan_Nilsson	12:38:04_PM	29/9/2019	10008	poor	66	Lysis_first	ERS16365472	sample processed and sequenced
SXTKFF	TNGTPF	1.476	Jan_Nilsson	12:44:08_PM	27/10/2019	Jan_Nilsson	12:22:45_PM	30/11/2019	48939	good	93.1	Lysis_first	ERS16365473	sample processed and sequenced
SIRGAU	TFIA7R	4.752	Lisa_Andersson	3:47:05_PM	1/6/2019	Lisa_Andersson	12:09:50_PM	7/6/2019	8423	good	94.2	Lysis_first	ERS16365474	sample processed and sequenced
SRXWXY	TV6Z5Y	3.69	Jan_Nilsson	1:21:27_PM	22/9/2019	Jan_Nilsson	12:13:21_PM	29/9/2019	10012	acceptable	94.4	Lysis_first	ERS16365475	sample processed and sequenced
S1EXLJ	TFIA7R	5.993	Lisa_Andersson	3:15:45_PM	17/5/2019	Lisa_Andersson	8:46:14_AM	24/5/2019	9690	good	94.2	Lysis_first	ERS16365476	sample processed and sequenced
SYWLSQ	TFGCME	5.408	Baatel_Enekvist	9:25:07_AM	7/9/2019	Baatel_Enekvist	10:08:28_AM	14/9/2019	10123	good	93.8	Lysis_first	ERS16365477	sample processed and sequenced
SEA6N2	TFIA7R	2.516	Lisa_Andersson	10:19:41_AM	29/9/2019	Lisa_Andersson	10:28:35_AM	27/10/2019	40329	good	93.3	Lysis_first	ERS16365478	sample processed and sequenced
SRB3AH	TIAIK1	5.734	Jan_Nilsson	3:42:12_PM	30/8/2019	Jan_Nilsson	1:51:41_PM	6/9/2019	9969	good	93.8	Lysis_first	ERS16365479	sample processed and sequenced
SQYHCJ	TIRXWF	1.777	Jan_Nilsson	2:32:44_PM	22/9/2019	Jan_Nilsson	1:30:18_PM	29/9/2019	10018	good	94.5	Lysis_first	ERS16365480	sample processed and sequenced
SQFRSD	TNGTPF	1.69	Jan_Nilsson	5:02:54_PM	30/8/2019	Jan_Nilsson	2:46:33_PM	6/9/2019	9944	good	94.7	Lysis_first	ERS16365481	sample processed and sequenced
STVBJR	TPFJTD	1.9	Amanda_Brising	2:54:21_PM	21/9/2019	Amanda_Brising	3:28:38_PM	28/9/2019	10114	good	94.9	Lysis_first	ERS16365482	sample processed and sequenced
SD7TPF	TPXB6L	3.443	Krister_Ljung	5:19:15_PM	8/9/2019	Ulrika_Ljung	3:24:39_PM	15/9/2019	9965	good	94.4	Lysis_first	ERS16365483	sample processed and sequenced
SHVY4Q	TYBVXB	4.77	Amanda_Brising	9:37:34_AM	24/8/2019	Amanda_Brising	11:10:05_AM	31/8/2019	10173	good	94.4	Lysis_first	ERS16365484	sample processed and sequenced
SDARX7	TKLVMZ	2.514	Baatel_Enekvist	10:21:16_AM	27/10/2019	Baatel_Enekvist	9:43:34_AM	23/11/2019	38842	good	93.1	Lysis_first	ERS16365485	sample processed and sequenced
SZ3WUV	TYKZSN	5.491	Jan_Nilsson	11:36:59_AM	27/10/2019	Jan_Nilsson	12:10:30_PM	30/11/2019	48994	good	92.8	Lysis_first	ERS16365486	sample processed and sequenced
SR128C	TIRXWF	0.712	Jan_Nilsson	4:59:44_PM	9/8/2019	Jan_Nilsson	6:10:52_PM	16/8/2019	10151	good	94.7	Lysis_first	ERS16365487	sample processed and sequenced
SNCENZ	TRXMCY	4.067	Jan_Nilsson	3:58:52_PM	30/8/2019	Jan_Nilsson	2:01:58_PM	6/9/2019	9963	good	94	Lysis_first	ERS16365488	sample processed and sequenced
SNKFSC	TFIA7R	0.341	Anne_RÃ¶nnholm	12:00:23_PM	7/4/2019	Lisa_Andersson	10:43:09_AM	12/4/2019	7123	poor	92.3	Lysis_first	ERS16365489	sample processed and sequenced
ST5PUG	TIAIK1	1.056	Jan_Nilsson	12:38:31_PM	29/9/2019	Jan_Nilsson	10:45:19_AM	27/10/2019	40207	poor	66.8	Lysis_first	ERS16365490	sample processed and sequenced
SLN1R9	TKMZ5X	6.533	Ulrika_Ljung	5:18:50_PM	8/9/2019	Ulrika_Ljung	2:34:11_PM	15/9/2019	9915	good	93.5	Lysis_first	ERS16365491	sample processed and sequenced
SF9AKN	TGX4C7	7.375	Baatel_Enekvist	12:52:18_PM	28/9/2019	Baatel_Enekvist	11:53:09_AM	27/10/2019	41701	good	90.5	Lysis_first	ERS16365492	sample processed and sequenced
SNIMUW	TKSUA6	9.66	Thomas_Kraft	9:58:01_AM	27/10/2019	Thomas_Kraft	8:44:22_AM	22/11/2019	37366	good	92.1	Lysis_first	ERS16365493	sample processed and sequenced
S8IYIS	TYKZSN	4.963	Jan_Nilsson	1:21:16_PM	29/9/2019	Jan_Nilsson	11:36:40_AM	27/10/2019	40215	good	92.9	Lysis_first	ERS16365494	sample processed and sequenced
SAFFA5	TNGTPF	0.797	Jan_Nilsson	2:40:30_PM	22/9/2019	Jan_Nilsson	1:38:00_PM	29/9/2019	10018	good	94.9	Lysis_first	ERS16365495	sample processed and sequenced
SVM4W7	TYKZSN	1.842	Richard_Olofsson	4:16:38_PM	25/8/2019	Jan_Nilsson	4:27:00_PM	30/8/2019	7210	good	94.7	Lysis_first	ERS16365496	sample processed and sequenced
SJ5XGP	TFIA7R	1.175	Lisa_Andersson	10:29:00_AM	27/10/2019	Lisa_Andersson	4:21:02_PM	25/11/2019	42112	good	93.7	Lysis_first	ERS16365497	sample processed and sequenced
SLIKK5	TMXZCE	3.584	Carina_Frogner	6:20:48_PM	7/9/2019	Carina_Frogner	3:31:29_PM	14/9/2019	9911	poor	93.7	Lysis_first	ERS16365498	sample processed and sequenced
SJ9MYU	TYBVXB	9.315	Amanda_Brising	3:52:48_PM	28/9/2019	Amanda_Brising	9:48:15_AM	26/10/2019	39955	poor	90.3	Lysis_first	ERS16365499	sample processed and sequenced
SCZVQP	T2KQJZ	8.026	Baatel_Enekvist	8:49:09_AM	7/9/2019	Baatel_Enekvist	9:31:51_AM	14/9/2019	10123	good	93	Lysis_first	ERS16365500	sample processed and sequenced
SDIS6K	TFIA7R	8.033	Lisa_Andersson	12:46:22_PM	26/7/2019	Lisa_Andersson	2:32:10_PM	4/8/2019	13066	good	93.6	Lysis_first	ERS16365501	sample processed and sequenced
SGIH83	TIAIK1	5.93	Richard_Olofsson	4:47:25_PM	25/8/2019	Jan_Nilsson	3:41:54_PM	30/8/2019	7134	good	94	Lysis_first	ERS16365502	sample processed and sequenced
SRQ7RH	TRXMCY	3.68	Jan_Nilsson	12:53:40_PM	29/9/2019	Jan_Nilsson	10:54:19_AM	27/10/2019	40201	poor	88.3	Lysis_first	ERS16365503	sample processed and sequenced
S1JUSM	TIRXWF	2.023	Jan_Nilsson	4:46:09_PM	30/8/2019	Jan_Nilsson	2:37:55_PM	6/9/2019	9952	good	94.7	Lysis_first	ERS16365504	sample processed and sequenced
SVH5ZS	THKAWB	1.18	Anders_Thalen	9:47:59_AM	23/11/2019	Anders_Thalen	10:02:26_AM	20/12/2019	38894	poor	94.5	Lysis_first	ERS16365505	sample processed and sequenced
SYPGB5	TMXZCE	3.289	Carina_Frogner	10:44:16_AM	10/8/2019	Carina_Frogner	10:34:35_AM	17/8/2019	10070	good	94.3	Lysis_first	ERS16365506	sample processed and sequenced
SFUGXT	TFGCME	7.047	Camila_Enekvist	7:35:01_AM	27/7/2019	Baatel_Enekvist	9:47:22_AM	3/8/2019	10212	good	93.7	Lysis_first	ERS16365507	sample processed and sequenced
SCPK2Z	TFFDRE	1.946	Ola_Ejdren	9:16:17_AM	7/9/2019	Thomas_Kraft	9:17:36_AM	15/9/2019	11521	good	94.3	Lysis_first	ERS16365508	sample processed and sequenced
S2USKL	TV6Z5Y	8.774	Jan_Nilsson	3:16:05_PM	9/8/2019	Jan_Nilsson	4:35:04_PM	16/8/2019	10159	good	93.6	Lysis_first	ERS16365509	sample processed and sequenced
SRNSBG	TTAPUR	6.437	Hanna_Emanuelsson	7:22:19_PM	29/9/2019	Hanna_Emanuelsson	1:16:23_PM	26/10/2019	38514	good	89.8	Lysis_first	ERS16365510	sample processed and sequenced
SH9HUQ	TNGTPF	0.944	Jan_Nilsson	12:23:04_PM	30/11/2019	Jan_Nilsson	3:24:34_PM	21/12/2019	30422	good	94.1	Lysis_first	ERS16365511	sample processed and sequenced
SBXNML	TFQDEE	0.793	Anders_Thalen	10:28:00_AM	23/11/2019	Anders_Thalen	11:45:53_AM	20/12/2019	38958	good	94.6	Lysis_first	ERS16365512	sample processed and sequenced
SJPVP6	TFIA7R	3.845	Lisa_Andersson	2:32:29_PM	4/8/2019	Lisa_Andersson	2:08:24_PM	9/8/2019	7176	good	94.7	Lysis_first	ERS16365513	sample processed and sequenced
SK9MCK	TPFJTD	7.261	Amanda_Brising	11:00:00_AM	31/8/2019	Amanda_Brising	9:44:47_AM	7/9/2019	10005	good	93.9	Lysis_first	ERS16365514	sample processed and sequenced
SWBCJY	TFIA7R	3.325	Lisa_Andersson	7:04:47_AM	10/5/2019	Lisa_Andersson	3:15:15_PM	17/5/2019	10570	good	94	Lysis_first	ERS16365515	sample processed and sequenced
S6NZ8E	THKAWB	2.604	Anders_Thalen	10:46:17_AM	28/9/2019	Anders_Thalen	8:31:26_AM	25/10/2019	38745	good	93.8	Lysis_first	ERS16365516	sample processed and sequenced
S9YIYX	TV6Z5Y	1.662	Jan_Nilsson	11:20:17_AM	30/11/2019	Jan_Nilsson	1:50:46_PM	21/12/2019	30390	poor	92.7	Lysis_first	ERS16365517	sample processed and sequenced
SWPHKB	TIAIK1	3.624	Jan_Nilsson	1:52:02_PM	6/9/2019	Jan_Nilsson	3:21:10_PM	13/9/2019	10169	poor	93.8	Lysis_first	ERS16365518	sample processed and sequenced
SBHSDW	TGCHAV	2.475	Thomas_Kraft	9:18:31_AM	22/11/2019	Thomas_Kraft	10:22:46_AM	21/12/2019	41824	poor	93.8	Lysis_first	ERS16365519	sample processed and sequenced
S8C1IP	T3NLMJ	2.4694	Karl_Gunnar Rosander	9:48:15_AM	13/4/2019	Karl_Gunnar Rosander	12:22:19_PM	20/4/2019	10234	good	94	Lysis_first	ERS16365520	sample processed and sequenced
SMMI3Y	TJS8IY	1.2074	Rebecka_Erixon	10:01:16_AM	7/4/2019	Rebecka_Erixon	3:13:58_PM	12/4/2019	7513	good	94.4	Lysis_first	ERS16365521	sample processed and sequenced
SEYQMQ	TWJED2	13.0654	Thomas_Kraft	11:49:59_AM	7/6/2019	Ola_Ejdren	1:10:27_PM	15/6/2019	11600	good	92.9	Lysis_first	ERS16365522	sample processed and sequenced
SKBVRU	T9DY9N	3.4284	Karl_Gunnar Rosander	12:09:34_PM	20/4/2019	Karl_Gunnar Rosander	10:35:58_AM	27/4/2019	9986	acceptable	93	Lysis_first	ERS16365523	sample processed and sequenced
SWC4DK	TV5KPB	3.4964	Karl_Gunnar Rosander	2:24:18_PM	11/5/2019	Karl_Gunnar Rosander	5:31:38_PM	18/5/2019	10267	good	94.5	Lysis_first	ERS16365524	sample processed and sequenced
SV6KQW	TEVVLD	9.8064	Irene_Persson	9:33:22_AM	18/5/2019	Irene_Persson	7:38:51_AM	25/5/2019	9965	good	93.2	Lysis_first	ERS16365525	sample processed and sequenced
SMHL1I	TF3STP	1.8094	Irene_Persson	8:13:48_AM	21/4/2019	Irene_Persson	8:49:16_AM	27/4/2019	8675	good	94.8	Lysis_first	ERS16365526	sample processed and sequenced
SWSTZ8	TWQDCF	2.1334	Rebecka_Erixon	3:01:01_PM	12/4/2019	Rebecka_Erixon	11:27:26_AM	21/4/2019	12746	good	93.3	Lysis_first	ERS16365527	sample processed and sequenced
SSREAC	TUDGN3	1.6424	Karl_Gunnar Rosander	3:00:04_PM	2/3/2019	Karl_Gunnar Rosander	3:48:11_PM	30/3/2019	40368	poor	93.8	Lysis_first	ERS16365528	sample processed and sequenced
SUY8YZ	TMNPJH	0.6334	Annika_Hed	12:44:27_PM	2/2/2019	Annika_Hed	12:13:38_PM	2/3/2019	40289	good	94.2	Lysis_first	ERS16365529	sample processed and sequenced
SPJZCI	TV5KPB	6.1154	Karl_Gunnar Rosander	5:32:00_PM	18/5/2019	Karl_Gunnar Rosander	5:56:31_PM	25/5/2019	10105	good	93.9	Lysis_first	ERS16365530	sample processed and sequenced
S83WYQ	TD5LHA	3.8964	Rebecka_Erixon	4:31:27_PM	10/5/2019	Rebecka_Erixon	11:34:03_AM	17/5/2019	9783	good	94.2	Lysis_first	ERS16365531	sample processed and sequenced
SSFHPT	T2YFPK	4.0284	Karl_Gunnar Rosander	2:07:15_PM	11/5/2019	Karl_Gunnar Rosander	5:11:09_PM	18/5/2019	10264	good	94.6	Lysis_first	ERS16365532	sample processed and sequenced
SFUTQ1	TM5LBB	7.9534	Elisabet_Dolff	9:15:07_AM	15/6/2019	Elisabet_Dolff	6:36:06_PM	22/6/2019	10641	good	93.5	Lysis_first	ERS16365533	sample processed and sequenced
SI2ACP	TM9NNJ	3.7374	John_Persson	11:17:22_AM	2/2/2019	John_Persson	9:57:48_AM	2/3/2019	40240	acceptable	92.4	Lysis_first	ERS16365534	sample processed and sequenced
S3NKMM	TM5LBB	3.3504	Elisabet_Dolff	7:57:30_AM	3/8/2019	Elisabet_Dolff	8:21:09_PM	9/8/2019	9384	good	94.5	Lysis_first	ERS16365535	sample processed and sequenced
SZ9KEQ	T2YFPK	1.1824	Karl_Gunnar Rosander	2:45:55_PM	6/4/2019	Karl_Gunnar Rosander	11:26:40_AM	13/4/2019	9881	good	94.8	Lysis_first	ERS16365536	sample processed and sequenced
SZC9UT	T3NLMJ	1.5554	Karl_Gunnar Rosander	1:53:02_PM	4/5/2019	Karl_Gunnar Rosander	12:38:12_PM	11/5/2019	10005	good	94.5	Lysis_first	ERS16365537	sample processed and sequenced
SPMCZS	TKSUA6	12.6524	Thomas_Kraft	4:47:01_AM	5/7/2019	Ola_Ejdren	5:22:18_PM	13/7/2019	12275	good	92.8	Lysis_first	ERS16365538	sample processed and sequenced
SNPNRS	TV5KPB	2.8254	Karl_Gunnar Rosander	1:41:33_PM	20/4/2019	Karl_Gunnar Rosander	12:01:14_PM	27/4/2019	9980	good	94.6	Lysis_first	ERS16365539	sample processed and sequenced
SPJN7C	TFIA7R	0.8854	Lisa_Andersson	1:06:30_PM	6/1/2019	David_Ã…hlen	3:00:00_PM	4/3/2019	82194	poor	92.1	Lysis_first	ERS16365540	sample processed and sequenced
SRGYKT	TM5LBB	5.5484	Elisabet_Dolff	9:18:15_AM	6/7/2019	Elisabet_Dolff	8:48:17_AM	13/7/2019	10050	good	94.2	Lysis_first	ERS16365541	sample processed and sequenced
SG7EGV	TKCEJN	3.1484	Irene_Persson	7:53:09_AM	21/4/2019	Irene_Persson	8:27:36_AM	27/4/2019	8674	good	94.9	Lysis_first	ERS16365542	sample processed and sequenced
SCN4WC	THBEZ5	2.0774	Irene_Persson	9:02:53_AM	4/5/2019	Irene_Persson	9:13:33_AM	12/5/2019	11531	good	94.7	Lysis_first	ERS16365543	sample processed and sequenced
SE2LB4	TWFXXZ	0.7934	Annika_Hed	10:20:26_AM	5/5/2019	Annika_Hed	9:43:57_AM	11/5/2019	8604	good	95.1	Lysis_first	ERS16365544	sample processed and sequenced
SNFQDE	TV5KPB	1.4804	Karl_Gunnar Rosander	3:04:17_PM	6/4/2019	Karl_Gunnar Rosander	11:46:55_AM	13/4/2019	9883	good	94.8	Lysis_first	ERS16365545	sample processed and sequenced
SJ1NZS	TGCHAV	6.1864	Thomas_Kraft	5:25:21_AM	5/7/2019	Ola_Ejdren	6:08:31_PM	13/7/2019	12283	good	94.4	Lysis_first	ERS16365546	sample processed and sequenced
S9ACJE	TL3KCT	2.2234	Karl_Gunnar Rosander	2:21:35_PM	6/4/2019	Karl_Gunnar Rosander	11:01:48_AM	13/4/2019	9880	good	94.6	Lysis_first	ERS16365547	sample processed and sequenced
SJUIQK	TD5LHA	1.4454	Rebecka_Erixon	2:03:17_PM	5/1/2019	Rebecka_Erixon	9:41:37_AM	4/2/2019	42938	acceptable	90.8	Lysis_first	ERS16365548	sample processed and sequenced
SBGN9J	TEVVLD	2.9304	Irene_Persson	8:53:24_AM	12/5/2019	Irene_Persson	9:33:05_AM	18/5/2019	8680	good	94.5	Lysis_first	ERS16365549	sample processed and sequenced
SAIWKF	TM5LBB	4.8634	Elisabet_Dolff	9:27:29_AM	27/7/2019	Elisabet_Dolff	7:57:15_AM	3/8/2019	9990	good	94.5	Lysis_first	ERS16365550	sample processed and sequenced
SQSWVM	TJS8IY	1.5154	Rebecka_Erixon	10:30:57_AM	4/5/2019	Rebecka_Erixon	4:00:19_PM	10/5/2019	8969	good	93.5	Lysis_first	ERS16365551	sample processed and sequenced
SKCEC8	T2YFPK	0.4374	Karl_Gunnar Rosander	1:11:00_PM	2/2/2019	Karl_Gunnar Rosander	4:12:35_PM	2/3/2019	40502	good	93.8	Lysis_first	ERS16365552	sample processed and sequenced
S3CEIX	TWFXXZ	0.5714	Annika_Hed	10:31:11_AM	5/1/2019	Annika_Hed	11:30:33_AM	2/2/2019	40379	acceptable	93.9	Lysis_first	ERS16365553	sample processed and sequenced
SIKIU5	TKGRKA	5.1834	Rebecka_Erixon	12:35:39_PM	2/3/2019	Rebecka_Erixon	12:33:15_PM	30/3/2019	40318	good	92.8	Lysis_first	ERS16365554	sample processed and sequenced
SKBITH	T3NLMJ	1.6914	Karl_Gunnar Rosander	2:22:55_PM	2/3/2019	Karl_Gunnar Rosander	2:53:41_PM	30/3/2019	40351	poor	95	Lysis_first	ERS16365555	sample processed and sequenced
SYBWVY	TUDGN3	3.0664	Karl_Gunnar Rosander	12:42:28_PM	20/4/2019	Karl_Gunnar Rosander	11:02:05_AM	27/4/2019	9980	good	94.7	Lysis_first	ERS16365556	sample processed and sequenced
SXXFVX	THBEZ5	3.7624	Irene_Persson	9:09:49_AM	14/4/2019	Irene_Persson	7:59:05_AM	21/4/2019	10009	good	94.7	Lysis_first	ERS16365557	sample processed and sequenced
SG4YU9	TSEQHD	2.9574	Irene_Persson	8:42:07_AM	4/5/2019	Irene_Persson	8:47:10_AM	12/5/2019	11525	good	92.5	Lysis_first	ERS16365558	sample processed and sequenced
S2QNSU	TM5LBB	2.8274	Elisabet_Dolff	8:21:25_PM	9/8/2019	Elisabet_Dolff	3:32:12_PM	17/8/2019	11231	good	94.5	Lysis_first	ERS16365559	sample processed and sequenced
SSKEEZ	TKGCFR	1.0554	Annika_Hed	12:12:58_PM	2/2/2019	Annika_Hed	11:37:17_AM	2/3/2019	40284	poor	82.2	Lysis_first	ERS16365560	sample processed and sequenced
SKVVCB	TKSUA6	6.7404	Thomas_Kraft	7:47:47_AM	29/6/2019	Thomas_Kraft	4:46:51_AM	5/7/2019	8459	good	93.8	Lysis_first	ERS16365561	sample processed and sequenced
SSS96H	T2YFPK	4.0314	Karl_Gunnar Rosander	5:11:26_PM	18/5/2019	Karl_Gunnar Rosander	5:11:29_PM	25/5/2019	10080	good	94.3	Lysis_first	ERS16365562	sample processed and sequenced
SVFHSL	TTWBA4	0.5344	Lena_Hammarlund	2:55:33_PM	2/3/2019	Lena_Hammarlund	11:09:00_AM	30/3/2019	40093	good	93.8	Lysis_first	ERS16365563	sample processed and sequenced
SKVEXA	TSEQHD	3.5744	Irene_Persson	7:40:26_AM	21/4/2019	Irene_Persson	8:07:48_AM	27/4/2019	8667	acceptable	94.2	Lysis_first	ERS16365564	sample processed and sequenced
SDTR7I	TJS8IY	2.9684	Rebecka_Erixon	4:00:40_PM	10/5/2019	Rebecka_Erixon	11:11:20_AM	17/5/2019	9791	good	94.1	Lysis_first	ERS16365565	sample processed and sequenced
SQXURS	TJXPPV	3.9574	Rebecka_Erixon	3:20:01_PM	12/4/2019	Rebecka_Erixon	11:49:01_AM	21/4/2019	12749	good	93.9	Lysis_first	ERS16365566	sample processed and sequenced
SE3I1M	TMSD51	1.3994	Annika_Hed	9:40:02_AM	6/4/2019	Annika_Hed	11:30:36_AM	13/4/2019	10191	poor	93.8	Lysis_first	ERS16365567	sample processed and sequenced
SADHRF	TWJED2	12.1744	Thomas_Kraft	8:23:56_AM	29/6/2019	Thomas_Kraft	5:08:47_AM	5/7/2019	8445	good	93.2	Lysis_first	ERS16365568	sample processed and sequenced
