sampleID_NGI	sampleID_SEQ	sampleID_FIELD	sampleID_LAB	dataset	lab_sample_type	country	biological_spikes	artificial_spikes	sample_metadata_file	lysate_rack_ID	lysate_well_ID	dna_plate_ID	dna_plate_well_ID	sequencing_batch	sequencing_batch_NGI	notes
P28409_1144	FH008_H200012_Blank	B-030621	H200012_Blank	CO1_homogenate_2019_SE	buffer_blank	Sweden	FALSE	FALSE	NA	FH008	H6	3000491440	H6	batch17	P28409	Blank_sample
P28409_1320	FH009_H200738_Blank	B-081021	H200738_Blank	CO1_homogenate_2019_SE	buffer_blank	Sweden	FALSE	FALSE	NA	FH009	H4	3000491441	H4	batch17	P28409	Blank_sample
P28409_1336	FH009_H200760_Blank	B-121021	H200760_Blank	CO1_homogenate_2019_SE	buffer_blank	Sweden	FALSE	FALSE	NA	FH009	H6	3000491441	H6	batch17	P28409	Blank_sample.
P28409_1224	FH007_H200585_Blank	B-220921	H200585_Blank	CO1_homogenate_2019_SE	buffer_blank	Sweden	FALSE	FALSE	NA	FH007	H4	3000491439	H4	batch17	P28409	Blank_sample
P28409_1032	FH006_H200483_Blank	B-240821	H200483_Blank	CO1_homogenate_2019_SE	buffer_blank	Sweden	FALSE	FALSE	NA	FH006	H4	3000491438	H4	batch17	P28409	Blank_sample
P28409_1240	FH007_H200637_Blank	B-250921	H200637_Blank	CO1_homogenate_2019_SE	buffer_blank	Sweden	FALSE	FALSE	NA	FH007	H6	3000491439	H6	batch17	P28409	Blank_sample.
P28409_1048	FH006_H200524_Blank	B-270821	H200524_Blank	CO1_homogenate_2019_SE	buffer_blank	Sweden	FALSE	FALSE	NA	FH006	H6	3000491438	H6	batch17	P28409	Blank_sample.
P28410_1128	FH004_H200330_Blank	B-030821	H200330_Blank	CO1_homogenate_2019_SE	buffer_blank	Sweden	FALSE	FALSE	NA	FH004	H4	3000491442	H4	batch18	P28410	Blank_sample
P28410_1404	FH005_H200371_Blank	B-110821	H200371_Blank	CO1_homogenate_2019_SE	buffer_blank	Sweden	FALSE	FALSE	NA	FH005	H4	3000491437	H4	batch18	P28410	Blank_sample
P28410_1144	FH004_H200013_Blank	B-150621	H200013_Blank	CO1_homogenate_2019_SE	buffer_blank	Sweden	FALSE	FALSE	NA	FH004	H6	3000491442	H6	batch18	P28410	Blank_sample.
P28410_1032	FH002_H200136_Blank	B-150721	H200136_Blank	CO1_homogenate_2019_SE	buffer_blank	Sweden	FALSE	FALSE	NA	FH002	H4	3000491443	H4	batch18	P28410	Blank_sample
P28410_1420	FH005_H200422_Blank	B-170821	H200422_Blank	CO1_homogenate_2019_SE	buffer_blank	Sweden	FALSE	FALSE	NA	FH005	H6	3000491437	H6	batch18	P28410	Blank_sample.
P28410_1199	FH0010_H200804_Blank	B-181021	H200804_Blank	CO1_homogenate_2019_SE	buffer_blank	Sweden	FALSE	FALSE	NA	FH010	G1	3000491447	G1	batch18	P28410	Blank_sample
P28410_1048	FH002_H200177_Blank	B-200721	H200177_Blank	CO1_homogenate_2019_SE	buffer_blank	Sweden	FALSE	FALSE	NA	FH002	H6	3000491443	H6	batch18	P28410	Blank_sample.
P28410_1213	FH0010_H200846_Blank	B-221021	H200846_Blank	CO1_homogenate_2019_SE	buffer_blank	Sweden	FALSE	FALSE	NA	FH010	G3	3000491447	G3	batch18	P28410	Blank_sample.
P28410_1308	FH003_H200218_Blank	B-230721	H200218_Blank	CO1_homogenate_2019_SE	buffer_blank	Sweden	FALSE	FALSE	NA	FH003	H4	3000491437	H4	batch18	P28410	Blank_sample
P28410_1324	FH003_H200279_Blank	B-290721	H200279_Blank	CO1_homogenate_2019_SE	buffer_blank	Sweden	FALSE	FALSE	NA	FH003	H6	3000491437	H6	batch18	P28410	Blank_sample.
P27361_1667	FH001_H200095_Blank_spikes	B-050721	H200095_Blank_spikes	CO1_homogenate_2019_SE	buffer_blank_art_spikes	Sweden	FALSE	TRUE	NA	FH001	H7	3000491445	H7	batch16	P27361	Blank_sample with artifcial spikes added at the time of DNA purification
P27361_1665	FH001_H200034_Blank_spikes	B-280621	H200034_Blank_spikes	CO1_homogenate_2019_SE	buffer_blank_art_spikes	Sweden	FALSE	TRUE	NA	FH001	H5	3000491445	H5	batch16	P27361	Blank_sample with artifcial spikes added at the time of DNA purification
P28409_1136	FH008_H200690_Blank_spikes	B-011021	H200690_Blank_spikes	CO1_homogenate_2019_SE	buffer_blank_art_spikes	Sweden	FALSE	TRUE	NA	FH008	H5	3000491440	H5	batch17	P28409	Blank_sample with artifcial spikes added at the time of DNA purification
P28409_1152	FH008_H200012_Blank_spikes	B-030621	H200012_Blank_spikes	CO1_homogenate_2019_SE	buffer_blank_art_spikes	Sweden	FALSE	TRUE	NA	FH008	H7	3000491440	H7	batch17	P28409	Blank_sample with artifcial spikes added at the time of DNA purification
P28409_1328	FH009_H200738_Blank_spikes	B-081021	H200738_Blank_spikes	CO1_homogenate_2019_SE	buffer_blank_art_spikes	Sweden	FALSE	TRUE	NA	FH009	H5	3000491441	H5	batch17	P28409	Blank_sample with artifcial spikes added at the time of DNA purification
P28409_1344	FH009_H200760_Blank_spikes	B-121021	H200760_Blank_spikes	CO1_homogenate_2019_SE	buffer_blank_art_spikes	Sweden	FALSE	TRUE	NA	FH009	H7	3000491441	H7	batch17	P28409	Blank_sample with artifcial spikes added at the time of DNA purification
P28409_1232	FH007_H200585_Blank_spikes	B-220921	H200585_Blank_spikes	CO1_homogenate_2019_SE	buffer_blank_art_spikes	Sweden	FALSE	TRUE	NA	FH007	H5	3000491439	H5	batch17	P28409	Blank_sample with artifcial spikes added at the time of DNA purification
P28409_1040	FH006_H200483_Blank_spikes	B-240821	H200483_Blank_spikes	CO1_homogenate_2019_SE	buffer_blank_art_spikes	Sweden	FALSE	TRUE	NA	FH006	H5	3000491438	H5	batch17	P28409	Blank_sample with artifcial spikes added at the time of DNA purification
P28409_1248	FH007_H200637_Blank_spikes	B-250921	H200637_Blank_spikes	CO1_homogenate_2019_SE	buffer_blank_art_spikes	Sweden	FALSE	TRUE	NA	FH007	H7	3000491439	H7	batch17	P28409	Blank_sample with artifcial spikes added at the time of DNA purification
P28409_1056	FH006_H200524_Blank_spikes	B-270821	H200524_Blank_spikes	CO1_homogenate_2019_SE	buffer_blank_art_spikes	Sweden	FALSE	TRUE	NA	FH006	H7	3000491438	H7	batch17	P28409	Blank_sample with artifcial spikes added at the time of DNA purification
P28410_1136	FH004_H200330_Blank_spikes	B-030821	H200330_Blank_spikes	CO1_homogenate_2019_SE	buffer_blank_art_spikes	Sweden	FALSE	TRUE	NA	FH004	H5	3000491442	H5	batch18	P28410	Blank_sample with artifcial spikes added at the time of DNA purification
P28410_1412	FH005_H200371_Blank_spikes	B-110821	H200371_Blank_spikes	CO1_homogenate_2019_SE	buffer_blank_art_spikes	Sweden	FALSE	TRUE	NA	FH005	H5	3000491437	H5	batch18	P28410	Blank_sample with artifcial spikes added at the time of DNA purification
P28410_1152	FH004_H200013_Blank_spikes	B-150621	H200013_Blank_spikes	CO1_homogenate_2019_SE	buffer_blank_art_spikes	Sweden	FALSE	TRUE	NA	FH004	H7	3000491442	H7	batch18	P28410	Blank_sample with artifcial spikes added at the time of DNA purification
P28410_1040	FH002_H200136_Blank_spikes	B-150721	H200136_Blank_spikes	CO1_homogenate_2019_SE	buffer_blank_art_spikes	Sweden	FALSE	TRUE	NA	FH002	H5	3000491443	H5	batch18	P28410	Blank_sample with artifcial spikes added at the time of DNA purification
P28410_1428	FH005_H200422_Blank_spikes	B-170821	H200422_Blank_spikes	CO1_homogenate_2019_SE	buffer_blank_art_spikes	Sweden	FALSE	TRUE	NA	FH005	H7	3000491437	H7	batch18	P28410	Blank_sample with artifcial spikes added at the time of DNA purification
P28410_1206	FH0010_H200804_Blank_spikes	B-181021	H200804_Blank_spikes	CO1_homogenate_2019_SE	buffer_blank_art_spikes	Sweden	FALSE	TRUE	NA	FH010	G2	3000491447	G2	batch18	P28410	Blank_sample with artifcial spikes added at the time of DNA purification
P28410_1056	FH002_H200177_Blank_spikes	B-200721	H200177_Blank_spikes	CO1_homogenate_2019_SE	buffer_blank_art_spikes	Sweden	FALSE	TRUE	NA	FH002	H7	3000491443	H7	batch18	P28410	Blank_sample with artifcial spikes added at the time of DNA purification
P28410_1220	FH0010_H200846_Blank_spikes	B-221021	H200846_Blank_spikes	CO1_homogenate_2019_SE	buffer_blank_art_spikes	Sweden	FALSE	TRUE	NA	FH010	G4	3000491447	G4	batch18	P28410	Blank_sample with artifcial spikes added at the time of DNA purification
P28410_1316	FH003_H200218_Blank_spikes	B-230721	H200218_Blank_spikes	CO1_homogenate_2019_SE	buffer_blank_art_spikes	Sweden	FALSE	TRUE	NA	FH003	H5	3000491437	H5	batch18	P28410	Blank_sample with artifcial spikes added at the time of DNA purification
P28410_1332	FH003_H200279_Blank_spikes	B-290721	H200279_Blank_spikes	CO1_homogenate_2019_SE	buffer_blank_art_spikes	Sweden	FALSE	TRUE	NA	FH003	H7	3000491437	H7	batch18	P28410	Blank_sample with artifcial spikes added at the time of DNA purification
P27361_1669	FH001_Neg_purification	NA	FH001_Neg_purification	CO1_homogenate_2019_SE	extraction_neg	Sweden	FALSE	FALSE	NA	FH001	NA	3000491445	NA	batch16	P27361	NA
P28409_1072	FH006_Neg_purification	NA	FH006_Neg_purification	CO1_homogenate_2019_SE	extraction_neg	Sweden	FALSE	FALSE	NA	FH006	NA	3000491438	NA	batch17	P28409	NA
P28409_1264	FH007_Neg_purification	NA	FH007_Neg_purification	CO1_homogenate_2019_SE	extraction_neg	Sweden	FALSE	FALSE	NA	FH007	NA	3000491439	NA	batch17	P28409	NA
P28409_1168	FH008_Neg_purification	NA	FH008_Neg_purification	CO1_homogenate_2019_SE	extraction_neg	Sweden	FALSE	FALSE	NA	FH008	NA	3000491440	NA	batch17	P28409	NA
P28409_1360	FH009_Neg_purification	NA	FH009_Neg_purification	CO1_homogenate_2019_SE	extraction_neg	Sweden	FALSE	FALSE	NA	FH009	NA	3000491441	NA	batch17	P28409	NA
P28410_1072	FH002_Neg_purification	NA	FH002_Neg_purification	CO1_homogenate_2019_SE	extraction_neg	Sweden	FALSE	FALSE	NA	FH002	NA	3000491443	NA	batch18	P28410	NA
P28410_1348	FH003_Neg_purification	NA	FH003_Neg_purification	CO1_homogenate_2019_SE	extraction_neg	Sweden	FALSE	FALSE	NA	FH003	NA	3000491456	NA	batch18	P28410	NA
P28410_1168	FH004_Neg_purification	NA	FH004_Neg_purification	CO1_homogenate_2019_SE	extraction_neg	Sweden	FALSE	FALSE	NA	FH004	NA	3000491442	NA	batch18	P28410	NA
P28410_1444	FH005_Neg_purification	NA	FH005_Neg_purification	CO1_homogenate_2019_SE	extraction_neg	Sweden	FALSE	FALSE	NA	FH005	NA	3000491437	NA	batch18	P28410	NA
P28410_1234	FH0010_Neg_purification	NA	FH0010_Neg_purification	CO1_homogenate_2019_SE	extraction_neg	Sweden	FALSE	FALSE	NA	FH010	NA	3000491447	NA	batch18	P28410	NA
P27361_1668	FH001_H200771_Pos_spikes	HOMPOS008	H200771	CO1_homogenate_2019_SE	mock_sample	Sweden	TRUE	TRUE	NA	FH001	H8	3000491445	H8	batch16	P27361	Positive_control with artificial spikes
P28409_1256	FH007_H200616_Pos_spikes	HOMPOS002	H200616	CO1_homogenate_2019_SE	mock_sample	Sweden	TRUE	TRUE	NA	FH007	H8	3000491439	H8	batch17	P28409	Positive_control with artificial spikes
P28409_1160	FH008_H200669_Pos_spikes	HOMPOS004	H200669	CO1_homogenate_2019_SE	mock_sample	Sweden	TRUE	TRUE	NA	FH008	H8	3000491440	H8	batch17	P28409	Positive_control with artificial spikes
P28409_1064	FH006_H200689_Pos_spikes	HOMPOS005	H200689	CO1_homogenate_2019_SE	mock_sample	Sweden	TRUE	TRUE	NA	FH006	H8	3000491438	H8	batch17	P28409	Positive_control with artificial spikes
P28409_1352	FH009_H200803_Pos_spikes	HOMPOS010	H200803	CO1_homogenate_2019_SE	mock_sample	Sweden	TRUE	TRUE	NA	FH009	H8	3000491441	H8	batch17	P28409	Positive_control with artificial spikes
P28410_1160	FH004_H200575_Pos_spikes	HOMPOS001	H200575	CO1_homogenate_2019_SE	mock_sample	Sweden	TRUE	TRUE	NA	FH004	H8	3000491442	H8	batch18	P28410	Positive_control with artificial spikes
P28410_1436	FH005_H200636_Pos_spikes	HOMPOS003	H200636	CO1_homogenate_2019_SE	mock_sample	Sweden	TRUE	TRUE	NA	FH005	H8	3000491437	H8	batch18	P28410	Positive_control with artificial spikes
P28410_1340	FH003_H200722_Pos_spikes	HOMPOS006	H200722	CO1_homogenate_2019_SE	mock_sample	Sweden	TRUE	TRUE	NA	FH003	H8	3000491456	H8	batch18	P28410	Positive_control with artificial spikes
P28410_1064	FH002_H200749_Pos_spikes	HOMPOS007	H200749	CO1_homogenate_2019_SE	mock_sample	Sweden	TRUE	TRUE	NA	FH002	H8	3000491443	H8	batch18	P28410	Positive_control with artificial spikes
P28410_1227	FH0010_H200835_Pos_spikes	HOMPOS012	H200835	CO1_homogenate_2019_SE	mock_sample	Sweden	TRUE	TRUE	NA	FH010	G5	3000491447	G5	batch18	P28410	Positive_control with artificial spikes
P28410_1248	FH0010_X	NA	NA	CO1_homogenate_2019_SE	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch18	P28410	NA
P28410_1269	FH0010_XX	NA	NA	CO1_homogenate_2019_SE	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch18	P28410	NA
P28410_1276	FH0010_XXX	NA	NA	CO1_homogenate_2019_SE	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch18	P28410	NA
P27361_1672	FH001_Neg_index	NA	FH001_Neg_index	CO1_homogenate_2019_SE	pcr_neg	Sweden	FALSE	FALSE	NA	FH001	NA	NA	NA	batch16	P27361	NA
P27361_1671	FH001_Neg_PCR	NA	FH001_Neg_PCR	CO1_homogenate_2019_SE	pcr_neg	Sweden	FALSE	FALSE	NA	FH001	NA	NA	NA	batch16	P27361	NA
P28409_1088	FH006_Neg_PCR	NA	FH006_Neg_PCR	CO1_homogenate_2019_SE	pcr_neg	Sweden	FALSE	FALSE	NA	FH006	NA	NA	NA	batch17	P28409	NA
P28409_1280	FH007_Neg_PCR	NA	FH007_Neg_PCR	CO1_homogenate_2019_SE	pcr_neg	Sweden	FALSE	FALSE	NA	FH007	NA	NA	NA	batch17	P28409	NA
P28409_1184	FH008_Neg_PCR	NA	FH008_Neg_PCR	CO1_homogenate_2019_SE	pcr_neg	Sweden	FALSE	FALSE	NA	FH008	NA	NA	NA	batch17	P28409	NA
P28409_1376	FH009_Neg_PCR	NA	FH009_Neg_PCR	CO1_homogenate_2019_SE	pcr_neg	Sweden	FALSE	FALSE	NA	FH009	NA	NA	NA	batch17	P28409	NA
P28410_1088	FH002_Neg_PCR	NA	FH002_Neg_PCR	CO1_homogenate_2019_SE	pcr_neg	Sweden	FALSE	FALSE	NA	FH002	NA	NA	NA	batch18	P28410	NA
P28410_1364	FH003_Neg_PCR	NA	FH003_Neg_PCR	CO1_homogenate_2019_SE	pcr_neg	Sweden	FALSE	FALSE	NA	FH003	NA	NA	NA	batch18	P28410	NA
P28410_1184	FH004_Neg_PCR	NA	FH004_Neg_PCR	CO1_homogenate_2019_SE	pcr_neg	Sweden	FALSE	FALSE	NA	FH004	NA	NA	NA	batch18	P28410	NA
P28410_1460	FH005_Neg_PCR	NA	FH005_Neg_PCR	CO1_homogenate_2019_SE	pcr_neg	Sweden	FALSE	FALSE	NA	FH005	NA	NA	NA	batch18	P28410	NA
P28410_1255	FH0010_Neg_PCR	NA	FH0010_Neg_PCR	CO1_homogenate_2019_SE	pcr_neg	Sweden	FALSE	FALSE	NA	FH010	NA	NA	NA	batch18	P28410	NA
P27361_1670	FH001_Pos_purification_spikes	NA	FH001_Pos_purification_spikes	CO1_homogenate_2019_SE	positive_control	Sweden	FALSE	TRUE	NA	FH001	NA	3000491445	NA	batch16	P27361	NA
P28409_1080	FH006_Pos_purification_spikes	NA	FH006_Pos_purification_spikes	CO1_homogenate_2019_SE	positive_control	Sweden	FALSE	TRUE	NA	FH006	NA	3000491438	NA	batch17	P28409	NA
P28409_1272	FH007_Pos_purification_spikes	NA	FH007_Pos_purification_spikes	CO1_homogenate_2019_SE	positive_control	Sweden	FALSE	TRUE	NA	FH007	NA	3000491439	NA	batch17	P28409	NA
P28409_1176	FH008_Pos_purification_spikes	NA	FH008_Pos_purification_spikes	CO1_homogenate_2019_SE	positive_control	Sweden	FALSE	TRUE	NA	FH008	NA	3000491440	NA	batch17	P28409	NA
P28409_1368	FH009_Pos_purification_spikes	NA	FH009_Pos_purification_spikes	CO1_homogenate_2019_SE	positive_control	Sweden	FALSE	TRUE	NA	FH009	NA	3000491441	NA	batch17	P28409	NA
P28410_1080	FH002_Pos_purification_spikes	NA	Pos_purification_spikes	CO1_homogenate_2019_SE	positive_control	Sweden	FALSE	TRUE	NA	FH002	NA	3000491443	NA	batch18	P28410	NA
P28410_1356	FH003_Pos_purification_spikes	NA	Pos_purification_spikes	CO1_homogenate_2019_SE	positive_control	Sweden	FALSE	TRUE	NA	FH003	NA	3000491456	NA	batch18	P28410	NA
P28410_1176	FH004_Pos_purification_spikes	NA	Pos_purification_spikes	CO1_homogenate_2019_SE	positive_control	Sweden	FALSE	TRUE	NA	FH004	NA	3000491442	NA	batch18	P28410	NA
P28410_1452	FH005_Pos_purification_spikes	NA	Pos_purification_spikes	CO1_homogenate_2019_SE	positive_control	Sweden	FALSE	TRUE	NA	FH005	NA	3000491437	NA	batch18	P28410	NA
P28410_1241	FH0010_Pos_purification_spikes	NA	Pos_purification_spikes	CO1_homogenate_2019_SE	positive_control	Sweden	FALSE	TRUE	NA	FH010	NA	3000491447	NA	batch18	P28410	NA
P25258_1516	ELA001_H3	S5MEZA	ELA001_H3	CO1_homogenate_2019_SE	sample	Sweden	TRUE	TRUE	samples_metadata_malaise_SE_2019	FH010	G12	3000491447	G12	batch10	P25258	Ela_15 samples. Insects in these samples were mild lysed, and then individually barcoded before homogenization.
P25258_1513	ELA001_H1	S8APX1	ELA001_H1	CO1_homogenate_2019_SE	sample	Sweden	TRUE	TRUE	samples_metadata_malaise_SE_2019	FH010	G10	3000491447	G10	batch10	P25258	Ela_15 samples. Insects in these samples were mild lysed, and then individually barcoded before homogenization.
P25258_1530	ELA001_H15	SACBBR	ELA001_H15	CO1_homogenate_2019_SE	sample	Sweden	TRUE	TRUE	samples_metadata_malaise_SE_2019	FH010	H12	3000491447	H12	batch10	P25258	Ela_15 samples. Insects in these samples were mild lysed, and then individually barcoded before homogenization.
P25258_1528	ELA001_H13	SBWPUY	ELA001_H13	CO1_homogenate_2019_SE	sample	Sweden	TRUE	TRUE	samples_metadata_malaise_SE_2019	FH010	H10	3000491447	H10	batch10	P25258	Ela_15 samples. Insects in these samples were mild lysed, and then individually barcoded before homogenization.
P25258_1529	ELA001_H14	SC1YIM	ELA001_H14	CO1_homogenate_2019_SE	sample	Sweden	TRUE	TRUE	samples_metadata_malaise_SE_2019	FH010	H11	3000491447	H11	batch10	P25258	Ela_15 samples. Insects in these samples were mild lysed, and then individually barcoded before homogenization.
P25258_1522	ELA001_H8_pf	SCNXZK	ELA001_H8	CO1_homogenate_2019_SE	sample	Sweden	TRUE	TRUE	samples_metadata_malaise_SE_2019	FH010	H5	3000491447	H5	batch10	P25258	Ela_15 samples. Insects in these samples were mild lysed, and then individually barcoded before homogenization.
P25258_1527	ELA001_H12	SG3CB2	ELA001_H12	CO1_homogenate_2019_SE	sample	Sweden	TRUE	TRUE	samples_metadata_malaise_SE_2019	FH010	H9	3000491447	H9	batch10	P25258	Ela_15 samples. Insects in these samples were mild lysed, and then individually barcoded before homogenization.
P25258_1521	ELA001_H7	SIRUBH	ELA001_H7	CO1_homogenate_2019_SE	sample	Sweden	TRUE	TRUE	samples_metadata_malaise_SE_2019	FH010	H4	3000491447	H4	batch10	P25258	Ela_15 samples. Insects in these samples were mild lysed, and then individually barcoded before homogenization.
P25258_1526	ELA001_H11	SIUQ3G	ELA001_H11	CO1_homogenate_2019_SE	sample	Sweden	TRUE	TRUE	samples_metadata_malaise_SE_2019	FH010	H8	3000491447	H8	batch10	P25258	Ela_15 samples. Insects in these samples were mild lysed, and then individually barcoded before homogenization.
P25258_1520	ELA001_H6	SKYQAL	ELA001_H6	CO1_homogenate_2019_SE	sample	Sweden	TRUE	TRUE	samples_metadata_malaise_SE_2019	FH010	H3	3000491447	H3	batch10	P25258	Ela_15 samples. Insects in these samples were mild lysed, and then individually barcoded before homogenization.
P25258_1514	ELA001_H2_pf	SLWUQ2	ELA001_H2	CO1_homogenate_2019_SE	sample	Sweden	TRUE	TRUE	samples_metadata_malaise_SE_2019	FH010	G11	3000491447	G11	batch10	P25258	Ela_15 samples. Insects in these samples were mild lysed, and then individually barcoded before homogenization.
P25258_1525	ELA001_H10	SQVR9H	ELA001_H10	CO1_homogenate_2019_SE	sample	Sweden	TRUE	TRUE	samples_metadata_malaise_SE_2019	FH010	H7	3000491447	H7	batch10	P25258	Ela_15 samples. Insects in these samples were mild lysed, and then individually barcoded before homogenization.
P25258_1519	ELA001_H5	STHFJP	ELA001_H5	CO1_homogenate_2019_SE	sample	Sweden	TRUE	TRUE	samples_metadata_malaise_SE_2019	FH010	H2	3000491447	H2	batch10	P25258	Ela_15 samples. Insects in these samples were mild lysed, and then individually barcoded before homogenization.
P25258_1524	ELA001_H9	SUXEKB	ELA001_H9	CO1_homogenate_2019_SE	sample	Sweden	TRUE	TRUE	samples_metadata_malaise_SE_2019	FH010	H6	3000491447	H6	batch10	P25258	Ela_15 samples. Insects in these samples were mild lysed, and then individually barcoded before homogenization.
P25258_1517	ELA001_H4_pf	SY34ZS	ELA001_H4	CO1_homogenate_2019_SE	sample	Sweden	TRUE	TRUE	samples_metadata_malaise_SE_2019	FH010	H1	3000491447	H1	batch10	P25258	Ela_15 samples. Insects in these samples were mild lysed, and then individually barcoded before homogenization.
P27361_1663	FH001_H200091	S1RTFB	H200091	CO1_homogenate_2019_SE	sample	Sweden	TRUE	TRUE	samples_metadata_malaise_SE_2019	FH001	H3	3000491445	H3	batch16	P27361	NA
P27361_1656	FH001_H200084	S2NMHM	H200084	CO1_homogenate_2019_SE	sample	Sweden	TRUE	TRUE	samples_metadata_malaise_SE_2019	FH001	G8	3000491445	G8	batch16	P27361	NA
P27361_1603	FH001_H200030	S2XVDE	H200030	CO1_homogenate_2019_SE	sample	Sweden	TRUE	TRUE	samples_metadata_malaise_SE_2019	FH001	C3	3000491445	C3	batch16	P27361	NA
