sampleID_FIELD	trapID	sample_type	date	time	soil_humidity_percentage_v1	soil_humidity_percentage_v2	soil_humidity_percentage_v3	soil_humidity_percentage_v4	soil_humidity_percentage_v5	soilchemistryID	raining
T9DY9N	T9DY9N	soil	08-07-2019	12:25:00_PM	3.8	2.4	56.6	36.4	16.1	10AF	No
T9UPWP	T9UPWP	soil	17-07-2019	10:00:00_AM	15.6	11.6	13.8	11	8	19VL	No
TAI56Z	TAI56Z	soil	03-07-2019	11:30:00_AM	3.2	0.5	1.8	2.7	0.4	08JH	No
TAKAXU	TAKAXU	soil	19-07-2019	3:40:00_PM	26.3	27.4	11.8	33.8	24.8	22VL	No
TAPGMG	TAPGMG	soil	12-07-2019	8:45:00_AM	7.6	6	4.8	11.8	12	18ER	No
TARUGI	TARUGI	soil	16-07-2019	2:20:00_PM	38.7	26	36.4	29	20.3	22ER	Yes
TBGIW1	TBGIW1	soil	03-07-2019	4:00:00_PM	77	77.4	61.4	NA	59.8	09ER	No
TBGYQQ	TBGYQQ	soil	04-07-2019	10:30:00_AM	16.4	5.7	7.6	3	19.8	06AF	Yes
TBLZ38	TBLZ38	soil	18-07-2019	3:55:00_PM	12.8	36.4	6.6	NA	15	27AF	No
TBPT1B	TBPT1B	soil	20-07-2019	11:00:00_AM	3.5	0.8	1.9	1.8	5.6	33JH	No
TBSQHF	TBSQHF	soil	22-07-2019	12:39:00_PM	29.4	28	19.4	17.4	15	33AF	Yes
TC6XPC	TC6XPC	soil	17-07-2019	7:40:00_AM	14.6	19.1	32	31.6	11.2	24AF	No
TC8QBB	TC8QBB	soil	23-07-2019	1:00:00_PM	NA	NA	NA	NA	NA	NA	No
TCD3P4	TCD3P4	soil	09-07-2019	4:20:00_PM	18.2	5.6	15.3	10.1	18.6	15EL	No
TCIHNW	TCIHNW	soil	26-07-2019	4:30:00_PM	11.2	11.6	7.1	4.2	13.9	31VL	No
TCMKFJ	TCMKFJ	soil	10-07-2019	1:55:00_PM	19.4	29.4	18.3	22.2	34.8	15ER	No
TCSZX1	TCSZX1	soil	02-07-2019	10:15:00_AM	10.2	7.4	25.5	19	10	05VL	No
TD5LHA	TD5LHA	soil	02-07-2019	4:30:00_PM	41.8	20.4	21.5	17.2	37.6	04EL	Yes
TDCIPI	TDCIPI	soil	16-07-2019	11:50:00_AM	24.7	34.4	25.8	33.2	22.8	22AF	Yes
TDGFXV	TDGFXV	soil	10-07-2019	3:35:00_PM	8.8	6	9	9.8	15.8	16JH	No
TDGVY8	TDGVY8	soil	11-07-2019	3:00:00_PM	NA	NA	NA	NA	NA	17ER	No
TDPRNI	TDPRNI	soil	08-07-2019	1:45:00_PM	8.6	17.3	7.6	20.3	15.4	13ER	No
TDUYXP	TDUYXP	soil	18-07-2019	2:30:00_PM	9.6	10.6	12.8	5.6	10	28EL	No
TE2T4A	TE2T4A	soil	24-07-2019	10:40:00_AM	27	51.6	21	53.6	40.2	28VL	No
TEHHBJ	TEHHBJ	soil	NA	NA	NA	NA	NA	NA	NA	NA	NA
TEPZPF	TEPZPF	soil	26-07-2019	1:05:00_PM	83.6	62.7	58.5	NA	51.4	30VL	No
TEVVLD	TEVVLD	soil	04-07-2019	10:00:00_AM	0.9	0.8	0.4	0.6	0.2	11JH	No
TEYZYN	TEYZYN	soil	08-07-2019	2:30:00_PM	22.8	8.4	14.9	10.9	22	13EL	No
TF3STP	TF3STP	soil	04-07-2019	3:00:00_PM	2.9	5.4	1.8	5.1	4.8	13JH	Yes
TFECCG	TFECCG	soil	23-07-2019	8:08:00_AM	61.8	NA	NA	55.3	72.4	NA	No
TFFDRE	TFFDRE	soil	19-07-2019	1:00:00_PM	3.6	7.1	11.6	6.6	4.4	30JH	No
TFGCME	TFGCME	soil	24-07-2019	11:30:00_AM	21.4	11.2	11	14.9	8.5	39JH	No
TFHNHU	TFHNHU	soil	15-07-2019	2:45:00_PM	33.6	35	34.1	10.3	45.2	24EL	Yes
TFIA7R	TFIA7R	soil	27-07-2019	10:20:00_AM	30	27.2	23	16	15.6	39EL	No
TFLSK1	TFLSK1	soil	04-07-2019	2:05:00_PM	14.4	6.2	5.1	17.2	20.8	09EL	No
TFQDEE	TFQDEE	soil	22-07-2019	2:53:00_PM	0.4	5.8	7.4	20.8	27.6	34AF	No
TFUBVV	TFUBVV	soil	24-07-2019	10:15:00_AM	26.2	25.3	37.7	30.9	27	26ER	No
TG4NHB	TG4NHB	soil	03-07-2019	11:30:00_AM	NA	27.6	16.2	2.4	3.5	09VL	No
TG6JK1	TG6JK1	soil	12-07-2019	8:41:00_AM	64.4	66.7	60.1	26.2	20	19AF	Yes
TG8NKF	TG8NKF	soil	11-07-2019	10:50:00_AM	NA	NA	NA	NA	NA	16ER	No
TGCHAV	TGCHAV	soil	19-07-2019	3:30:00_PM	3.4	5.3	7.8	9.9	2.6	31JH	No
TGTDBY	TGTDBY	soil	12-07-2019	2:20:00_PM	4.9	9.6	8.3	10.2	22.3	22EL	Yes
TGX4C7	TGX4C7	soil	24-07-2019	9:00:00_AM	17.2	17.1	13.8	23.9	11.2	38JH	No
TGXFSR	TGXFSR	soil	18-07-2019	9:30:00_AM	25.4	9.4	30.3	11.4	19.6	27EL	No
THBEZ5	THBEZ5	soil	03-07-2019	4:15:00_PM	1.6	2.8	5.6	3.7	5.1	10JH	No
THFUHH	THFUHH	soil	10-07-2019	10:30:00_AM	9.2	10.6	13.3	11.2	3.6	15JH	No
THG7AZ	THG7AZ	soil	15-07-2019	12:45:00_PM	9.5	17.8	14.1	11.4	18.3	23ER	No
THGNFM	THGNFM	soil	22-07-2019	1:50:00_PM	77.9	4.5	39.5	NA	40.4	25VL	No
THGUAX	THGUAX	soil	23-07-2019	1:55:00_PM	9.3	11.4	10.2	11.6	10.7	34EL	No
THGYUE	THGYUE	soil	30-06-2019	11:00:00_AM	6.8	10.8	20.6	25.6	12.2	03VL	Yes
THKAWB	THKAWB	soil	21-07-2019	11:25:00_AM	3.6	13.8	18.4	6.4	21.4	30AF	No
TI93DT	TI93DT	soil	19-07-2019	2:00:00_PM	26.8	27.7	34.3	24.8	55.8	21VL	No
TIAIK1	TIAIK1	soil	17-07-2019	10:30:00_AM	34.8	33.8	27	10.6	27.9	25JH	No
TIJXRJ	TIJXRJ	soil	19-07-2019	9:50:00_AM	14.2	25.3	6	7	21	29EL	No
TIRXWF	TIRXWF	soil	16-07-2019	3:00:00_PM	59.6	50.2	48.1	20.2	23.5	24JH	Yes
TIS5BD	TIS5BD	soil	03-07-2019	10:50:00_AM	21	13	9.6	5.6	30	05AF	No
TIUVZ1	TIUVZ1	soil	10-07-2019	4:50:00_PM	38.4	30.6	69.2	55.4	82	17EL	No
TJBXIG	TJBXIG	soil	10-07-2019	2:30:00_PM	68.2	83.2	64.6	34	80.3	13VL	No
TJNMNV	TJNMNV	soil	17-07-2019	10:30:00_AM	NA	NA	NA	NA	NA	NA	No
TJS8IY	TJS8IY	soil	01-07-2019	10:30:00_AM	25	12.3	16.3	3.8	7.6	02EL	Yes
TJW6L7	TJW6L7	soil	15-07-2019	12:20:00_PM	22.9	27.7	34.6	32	24.8	16VL	Yes
TJXPPV	TJXPPV	soil	02-07-2019	7:10:00_PM	26	43	18.8	36.2	24.1	5EL	Yes
TJXUUR	TJXUUR	soil	16-07-2019	12:50:00_PM	26	26.8	16.5	17.9	14.4	18VL	No
TJZEUI	TJZEUI	soil	23-07-2019	7:30:00_PM	16.8	22.4	22.6	15.6	24.5	37JH	No
TJZHPY	TJZHPY	soil	20-07-2019	4:25:00_PM	76.8	84.8	NA	83	76.3	25ER	No
TK3EAJ	TK3EAJ	soil	30-06-2019	5:15:00_PM	NA	NA	NA	NA	NA	03ER	No
TK5FQJ	TK5FQJ	soil	02-07-2019	10:55:00_AM	25.2	34.6	26	14.7	11.4	06ER	No
TKBVDW	TKBVDW	soil	20-07-2019	12:10:00_PM	NA	NA	NA	NA	NA	NA	No
TKCEJN	TKCEJN	soil	03-07-2019	2:00:00_PM	10.8	1.7	10.2	5	0.2	09JH	No
TKGCFR	TKGCFR	soil	02-07-2019	3:30:00_PM	8.6	10	9.2	22.6	7.2	06JH	No
TKIAHP	TKIAHP	soil	01-07-2019	1:35:00_PM	26	12.7	26.1	16.2	14.6	04ER	Yes
TKLVMZ	TKLVMZ	soil	23-07-2019	12:30:00_PM	16.3	18.5	23.2	17.7	16.9	34JH	No
TKMUNP	TKMUNP	soil	25-07-2019	3:50:00_PM	70.2	71	52.2	63	65	29VL	No
TKMZ5X	TKMZ5X	soil	11-07-2019	5:30:00_PM	6.3	10.8	15	12.6	17.6	20EL	No
TKSUA6	TKSUA6	soil	18-07-2019	5:00:00_PM	12.6	8.4	8.3	8.8	6.2	28JH	No
TL3KCT	TL3KCT	soil	10-07-2019	8:24:00_AM	13	45.7	4	44	16.8	14AF	No
TLCIG9	TLCIG9	soil	02-07-2019	5:45:00_PM	3.4	10.8	9.4	15.4	1.6	04AF	No
TLFBSS	TLFBSS	soil	01-07-2019	8:50:00_AM	NA	NA	NA	NA	NA	NA	No
TLFEGH	TLFEGH	soil	02-07-2019	2:15:00_PM	11	31.2	34.9	18.8	36	07ER	No
TLG2QC	TLG2QC	soil	10-07-2019	1:05:00_PM	4.8	33	30.4	10	15.5	15AF	No
TLY1VQ	TLY1VQ	soil	23-07-2019	4:15:00_PM	NA	NA	NA	NA	NA	27VL	No
TM4GA9	TM4GA9	soil	23-07-2019	9:15:00_AM	13.6	5.5	11.1	12	7.7	32EL	Yes
TM5LBB	TM5LBB	soil	01-07-2019	1:30:00_PM	31.4	29.1	22.5	41.3	45.2	02AF	Yes
TM9NNJ	TM9NNJ	soil	11-07-2019	11:00:00_AM	7.3	19	3.5	6.3	7.8	17JH	No
TMLQED	TMLQED	soil	23-07-2019	11:10:00_AM	8	6.4	6.8	9.6	9	33EL	Yes
TMMIG9	TMMIG9	soil	21-07-2019	8:27:00_AM	33.5	20.7	31.6	32.3	46.4	29AF	No
TMNPJH	TMNPJH	soil	01-07-2019	5:00:00_PM	11.4	3	1.4	23	4.2	03JH	No
TMSD51	TMSD51	soil	02-07-2019	10:00:00_AM	9.1	14.2	13.4	7.2	17.2	04JH	No
TMXZCE	TMXZCE	soil	18-07-2019	12:30:00_PM	16.9	10.6	5.2	12.1	15.8	27JH	No
TMYD2K	TMYD2K	soil	25-07-2019	1:00:00_PM	NA	NA	NA	NA	NA	NA	No
TND7ZQ	TND7ZQ	soil	05-07-2019	10:30:00_AM	25.8	17	19.8	8.2	15.7	10VL	Yes
TNGTPF	TNGTPF	soil	16-07-2019	10:20:00_AM	9.8	9	10.6	14	13.5	22JH	Yes
TNLTYQ	TNLTYQ	soil	11-07-2019	2:50:00_PM	2.5	10.2	11.1	8.4	11.6	19EL	No
TNPKST	TNPKST	soil	16-07-2019	12:20:00_PM	35.6	26.9	31.4	46.8	29	21ER	Yes
TPFJTD	TPFJTD	soil	26-06-2019	2:00:00_PM	9.2	2	4.1	12.4	12.2	01EL	Yes
TPUCG4	TPUCG4	soil	26-06-2019	1:55:00_PM	11.6	7.3	17.2	11.2	11.4	01AF	Yes
TPXB6L	TPXB6L	soil	12-07-2019	9:40:00_AM	15.2	11.3	10.5	14.2	22.8	21EL	No
TQNH2B	TQNH2B	soil	26-07-2019	4:00:00_PM	2.4	16.2	9.8	15.6	6.4	37EL	No
TR24WG	TR24WG	soil	18-07-2019	9:30:00_AM	NA	41.4	NA	68.3	66.4	NA	No
TR9HSR	TR9HSR	soil	26-07-2019	10:00:00_AM	15.4	11.9	8.8	6.6	10.8	28ER	No
TRB71K	TRB71K	soil	15-07-2019	10:20:00_AM	30.7	27.8	17.2	31	34.1	15VL	Yes
TRH2QM	TRH2QM	soil	23-07-2019	5:15:00_PM	29.2	16.2	18.3	20.9	19.3	36JH	No
TRICKN	TRICKN	soil	15-07-2019	9:55:00_AM	77	35.2	NA	45.4	NA	19ER	No
TRXMCY	TRXMCY	soil	17-07-2019	1:30:00_PM	12.3	16.4	21.4	23.1	14.2	26JH	No
TS1LPT	TS1LPT	soil	21-07-2019	1:55:00_PM	12.8	15.8	15.6	12.5	11.8	31AF	No
TS2P4Q	TS2P4Q	soil	16-07-2019	2:30:00_PM	15.2	16	16.8	5.6	18.2	20VL	No
TSDGQK	TSDGQK	soil	01-07-2019	1:00:00_PM	8.2	10.6	3.6	11.2	6.4	02JH	Yes
TSEQHD	TSEQHD	soil	04-07-2019	12:30:00_PM	1.6	0.6	0.2	0.4	1.2	12JH	Yes
TSFXCZ	TSFXCZ	soil	22-07-2019	8:05:00_AM	31.2	25.8	10.2	19.8	19.1	32AF	No
TSFYKU	TSFYKU	soil	05-07-2019	3:45:00_PM	16.4	6.2	5.6	2.2	7.2	08AF	No
TSKEKT	TSKEKT	soil	09-07-2019	9:50:00_AM	11.1	28.8	13.8	29.8	22.2	14EL	No
TSSMCA	TSSMCA	soil	26-07-2019	3:40:00_PM	NA	NA	NA	NA	NA	NA	No
TSTZUY	TSTZUY	soil	26-07-2019	1:15:00_PM	NA	NA	NA	NA	NA	NA	No
TSVHD1	TSVHD1	soil	23-07-2019	11:35:00_AM	0.7	12.8	16.2	21	NA	35AF	No
TT79BQ	TT79BQ	soil	23-07-2019	1:15:00_PM	40	46.2	48.4	60.4	47.8	26VL	No
TTA2EM	TTA2EM	soil	09-07-2019	4:00:00_PM	71.5	60.2	24.6	53	51	NA	No
TTAPUR	TTAPUR	soil	13-07-2019	3:30:00_PM	0.6	9.7	5.3	6.3	5.2	20JH	No
TTE4BQ	TTE4BQ	soil	03-07-2019	10:45:00_AM	14	28.6	16.2	26.4	15.4	06EL	No
TTNYZZ	TTNYZZ	soil	11-07-2019	1:37:00_PM	19.2	26	21.8	17	12	18AF	No
TTWBA4	TTWBA4	soil	05-07-2019	8:30:00_AM	15.6	4.2	17.4	5.1	7.2	07AF	No
TU2YW9	TU2YW9	soil	16-07-2019	8:50:00_AM	7.4	34.2	13.6	20.4	16.9	21AF	Yes
TUBWQK	TUBWQK	soil	11-07-2019	8:49:00_AM	10.4	16.4	22	9.6	17.4	17AF	No
TUDGN3	TUDGN3	soil	08-07-2019	2:55:00_PM	59.8	69.6	50	73.4	38.2	11AF	Yes
TUHLET	TUHLET	soil	16-07-2019	10:15:00_AM	24.6	19.6	9.8	34.8	12.1	25EL	No
TUPA8G	TUPA8G	soil	03-07-2019	3:00:00_PM	11	20.6	21.8	24	8.4	07EL	No
TUQ4KK	TUQ4KK	soil	24-07-2019	4:35:00_PM	NA	NA	82.4	NA	NA	27ER	No
TUQQIV	TUQQIV	soil	15-07-2019	6:20:00_PM	4.8	7.3	9.8	0.2	1.2	20AF	No
TV2QKF	TV2QKF	soil	08-07-2019	3:25:00_PM	16	22.6	14.4	13	14	14ER	No
TV5KPB	TV5KPB	soil	08-07-2019	8:30:00_AM	9.4	29.2	16.1	18	13.8	09AF	No
TV6Z5Y	TV6Z5Y	soil	15-07-2019	7:30:00_PM	4.8	8.9	3.2	5.8	7.9	21JH	No
TVCC3Y	TVCC3Y	soil	01-07-2019	2:00:00_PM	12.4	7.4	3.6	9.9	6.8	04VL	Yes
TVNBV7	TVNBV7	soil	03-07-2019	10:00:00_AM	1.2	1.2	7.8	0.4	1.4	08VL	No
TWCPQR	TWCPQR	soil	26-06-2019	12:20:00_PM	11.8	23.7	20.6	2.4	8	02VL	Yes
TWF14R	TWF14R	soil	24-07-2019	9:50:00_AM	33	30.6	31.4	45.6	49.8	36EL	No
TWFXXZ	TWFXXZ	soil	02-07-2019	7:00:00_PM	30	14.2	NA	13.8	20.4	07JH	No
TWJED2	TWJED2	soil	19-07-2019	10:20:00_AM	9.7	9.4	27	13.6	29.8	29JH	No
TWLJ2P	TWLJ2P	soil	26-06-2019	2:40:00_PM	16.6	19.1	9	5.3	9.8	01JH	Yes
TWQDCF	TWQDCF	soil	01-07-2019	2:10:00_PM	1.5	2.2	4	0.7	1.2	03EL	Yes
TWRXFI	TWRXFI	soil	29-07-2019	9:20:00_AM	5.9	14.6	8.3	9.8	4	30ER	No
TWSFGJ	TWSFGJ	soil	19-07-2019	8:30:00_AM	8.5	18.8	38.1	46.6	32.4	28AF	No
TWVCXF	TWVCXF	soil	15-07-2019	9:45:00_AM	10.7	15	12.7	12	17.6	23EL	No
TXGZUY	TXGZUY	soil	12-07-2019	3:15:00_PM	11.1	10.7	8.6	15.6	16	19JH	Yes
TXHDAT	TXHDAT	soil	09-07-2019	11:50:00_AM	60	21.6	50.4	13.5	50.4	12VL	No
TXLZ8M	TXLZ8M	soil	21-07-2019	5:00:00_PM	8.2	11.6	5.8	14.8	7	24VL	No
TYAASL	TYAASL	soil	04-07-2019	10:00:00_AM	6.4	8	11.4	9.8	13.8	10ER	No
TYBVXB	TYBVXB	soil	26-06-2019	2:20:00_PM	18.2	29	27.4	30.2	27.3	01VL	Yes
TYDUPV	TYDUPV	soil	11-07-2019	10:20:00_AM	5	7.3	14.4	7.7	13.2	18EL	No
TYKB9L	TYKB9L	soil	30-06-2019	1:35:00_PM	45.9	34.3	46.6	42	29.4	02ER	No
TYKZSN	TYKZSN	soil	16-07-2019	12:40:00_PM	12.4	8.2	8.1	29.4	7.8	23JH	Yes
TYRKAV	TYRKAV	soil	27-07-2019	6:00:00_PM	5.7	10.4	11.8	10.2	10.8	29ER	No
TYUAHW	TYUAHW	soil	26-06-2019	2:20:00_PM	32.3	22.3	19.9	20.6	1.6	01ER	Yes
TZ6Q7T	TZ6Q7T	soil	21-07-2019	12:10:00_PM	1.2	19.4	6.8	12	11.4	23VL	No
TZDKD7	TZDKD7	soil	05-07-2019	2:40:00_PM	20.4	44.3	32.4	24	13.3	11EL	No
TZFRJA	TZFRJA	soil	18-07-2019	1:14:00_PM	53.7	67.7	54.8	34.3	33.2	NA	No
TZQFGP	TZQFGP	soil	10-07-2019	6:30:00_PM	6	1.8	5	6.2	16.4	16AF	No
TZRRMG	TZRRMG	soil	17-07-2019	2:35:00_PM	36.5	22.4	19.7	16.2	6	26AF	Yes
TZVTYZ	TZVTYZ	soil	02-07-2019	9:00:00_AM	26.8	14.2	37.8	15.5	20.6	03AF	No
TZWKHK	TZWKHK	soil	19-07-2019	6:00:00_PM	1.3	3.4	3	1	1.2	32JH	No
TZXF7I	TZXF7I	soil	25-07-2019	1:50:00_PM	63.9	79.4	NA	NA	NA	NA	No
TZZ9UM	TZZ9UM	soil	05-07-2019	9:10:00_AM	24.8	36	27.5	24.2	19.2	10EL	No
